,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,True,1,4.5,20765,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0.0,0.4,0.0,0.0,0,0,0,0,1,0,0,0,6,6,0,0,0,1,0,0,0,0,10,Everton
2,18 Aug 15:00,2,0,False,0,4.5,20569,558,2108,-1550,21,0,0,0,0,0,0,1,0,0,0,-3,0.0,1.8,2.0,0.3,0,0,0,0,0,0,0,0,12,10,0,0,0,2,0,0,1,0,17,Leicester
3,25 Aug 12:30,1,1,True,0,4.5,18745,345,2409,-2064,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Man City
4,01 Sep 15:00,0,1,False,0,4.4,19844,2407,2185,222,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,West Ham
5,16 Sep 13:30,1,0,True,1,4.4,20732,2823,2793,30,2,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,50,Burnley
6,22 Sep 15:00,1,1,False,1,4.4,19966,654,1501,-847,3,0,0,0,0,0,0,0,0,0,0,4,2.0,10.0,0.0,1.2,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,59,Man Utd
7,29 Sep 15:00,2,0,True,0,4.4,19697,610,1077,-467,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,Southampton
8,06 Oct 15:00,0,1,False,0,4.4,19288,321,799,-478,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,Crystal Palace
9,20 Oct 15:00,0,2,True,0,4.4,18724,317,964,-647,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Watford
10,27 Oct 15:00,1,0,False,0,4.4,18268,188,657,-469,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Brighton
11,03 Nov 19:45,2,3,True,1,4.3,17873,334,845,-511,28,0,0,0,0,0,0,0,0,0,0,9,9.4,18.0,0.0,2.7,0,0,1,0,2,1,0,0,24,21,0,0,0,1,0,0,0,3,110,Spurs
12,11 Nov 16:30,1,1,False,1,4.3,20845,3493,1117,2376,5,0,0,0,1,0,0,0,0,0,0,2,0.0,4.1,1.0,0.3,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,1,0,0,111,Arsenal
13,25 Nov 16:00,0,2,True,1,4.3,22053,2645,1493,1152,45,0,0,0,1,0,0,0,0,0,0,9,3.8,1.7,0.0,0.6,0,0,0,1,4,0,0,0,35,30,0,0,0,0,0,0,0,1,130,Huddersfield
14,30 Nov 20:00,2,1,False,1,4.3,23919,2722,1094,1628,17,0,0,0,1,0,0,0,0,0,0,1,0.0,2.1,5.0,0.7,0,0,0,2,0,0,0,0,10,8,0,0,0,0,0,2,1,0,132,Cardiff
15,05 Dec 19:45,2,1,True,5,4.3,24812,2289,1386,903,71,0,1,0,1,0,0,0,0,0,0,16,18.6,11.4,0.0,3.0,0,0,0,1,4,1,0,0,16,14,0,0,0,2,0,0,2,3,148,Chelsea
16,09 Dec 16:00,1,2,False,1,4.3,32767,8245,1395,6850,30,0,0,0,0,0,0,0,0,0,0,2,2.0,16.0,8.0,2.6,0,0,0,0,1,1,0,0,15,13,0,0,0,1,0,0,1,0,159,Newcastle
17,15 Dec 15:00,2,0,True,3,4.3,34686,4595,2439,2156,74,0,0,1,0,0,0,0,0,0,0,9,4.2,27.6,2.0,3.4,0,0,1,0,2,2,0,0,27,21,0,0,0,2,0,0,0,0,170,Bournemouth
