entry,value
player_id,242
web_name,Gomez
team,Liverpool
first_name,Joseph
second_name,Gomez
cost_end,4.8
value_form,0.1
value_season,11.5
cost_change_start,-0.2
cost_start,5.0
dreamteam_count,0
selected_by_percent,1.0
total_points,55
ppg,3.4
minutes,1059
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,268
influence,209.8
creativity,92.1
threat,44.0
ict_index,34.7
ea_index,0
position,Defender
