entry,value
player_id,37
web_name,Gosling
team,Bournemouth
first_name,Dan
second_name,Gosling
cost_end,4.7
value_form,0.4
value_season,11.5
cost_change_start,-3
cost_start,7.7
dreamteam_count,0
selected_by_percent,0.1
total_points,54
ppg,2.2
minutes,1734
goals_scored,2
assists,2
clean_sheets,4
goals_conceded,33
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,0
bps,237
influence,400.6
creativity,164.7
threat,217.0
ict_index,78.1
ea_index,0
position,Midfielder
