,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,1,7.0,364302,0,0,0,59,0,0,0,2,0,0,0,0,0,0,6,8.6,20.3,4.0,3.3,0,2,0,1,0,1,0,0,18,14,0,0,0,0,0,0,0,0,9,Watford
2,19 Aug 16:00,3,2,True,10,6.9,296226,1269,74372,-73103,89,1,0,0,1,0,0,0,0,0,3,29,40.8,17.5,23.0,8.1,0,0,0,1,3,1,0,1,28,17,0,0,0,0,0,0,0,0,11,Man Utd
3,25 Aug 17:30,1,0,False,1,6.9,281894,12719,34045,-21326,10,0,0,0,0,0,0,0,0,0,0,4,13.4,14.8,17.0,4.5,0,1,0,2,3,1,0,0,6,5,0,1,0,0,0,0,0,0,25,Liverpool
4,01 Sep 15:00,2,2,True,-1,6.9,284233,25915,28017,-2102,59,0,0,0,1,0,0,0,0,0,0,-3,7.8,23.8,19.0,5.1,0,1,0,0,3,1,0,0,17,14,0,1,0,1,0,0,0,1,31,Fulham
5,17 Sep 20:00,2,2,False,0,6.8,213575,2024,70998,-68974,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Southampton
6,22 Sep 17:30,1,2,True,0,6.8,162248,169,52717,-52548,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Spurs
7,29 Sep 15:00,2,0,False,0,6.7,133983,102,29252,-29150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,Man City
8,05 Oct 20:00,1,0,True,0,6.7,121200,139,13381,-13242,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,West Ham
9,20 Oct 15:00,0,1,False,0,6.7,111039,293,10663,-10370,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Newcastle
10,27 Oct 15:00,1,0,True,0,6.7,105581,143,5823,-5680,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Wolves
11,03 Nov 15:00,3,1,False,0,6.7,99681,53,6059,-6006,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Everton
12,10 Nov 12:30,2,1,False,0,6.7,95814,52,3988,-3936,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Cardiff
13,24 Nov 15:00,1,1,True,2,6.7,94518,638,2030,-1392,81,0,0,0,1,0,0,0,0,0,0,11,7.0,25.3,0.0,3.2,0,0,0,2,2,2,0,0,34,30,0,0,0,1,1,0,1,1,122,Leicester
14,01 Dec 15:00,1,2,False,2,6.7,95790,1750,655,1095,90,0,0,0,1,0,0,0,0,0,0,14,29.6,62.6,17.0,10.9,0,0,0,2,7,4,0,0,80,60,0,0,0,1,0,0,0,0,135,Huddersfield
15,04 Dec 19:45,3,1,True,1,6.7,95767,921,998,-77,30,0,0,0,0,0,0,0,0,0,0,7,5.4,12.4,2.0,2.0,0,0,0,0,2,1,1,0,20,16,0,0,0,0,0,0,0,1,142,Crystal Palace
16,08 Dec 15:00,1,0,False,2,6.7,95017,574,1398,-824,78,0,0,0,1,0,0,0,0,0,0,11,10.0,21.8,4.0,3.6,0,0,0,2,0,2,0,0,36,29,0,0,0,0,0,1,1,0,153,Burnley
