,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,True,2,4.5,53733,0,0,0,90,0,0,0,2,0,0,0,0,0,0,15,11.4,3.0,1.0,1.5,0,0,0,5,6,0,2,0,47,38,0,0,0,1,0,1,1,1,1,Man City
2,18 Aug 17:30,3,2,False,2,4.5,81273,18896,8222,10674,90,0,0,0,3,0,0,0,0,0,0,17,26.4,5.0,7.0,3.8,0,0,0,5,8,0,0,0,49,46,0,0,0,1,0,0,0,2,14,Chelsea
3,25 Aug 15:00,3,1,True,1,4.5,166086,89679,23951,65728,55,0,0,0,1,0,0,0,0,0,0,17,11.2,24.4,8.0,4.4,0,0,0,1,6,2,2,0,51,46,0,0,0,0,0,0,0,0,21,West Ham
4,02 Sep 13:30,2,3,False,1,4.5,185112,37956,23019,14937,69,0,0,0,2,0,0,1,0,0,0,10,5.4,2.9,0.0,0.8,0,0,0,1,2,0,1,0,55,50,0,0,0,0,0,0,1,0,33,Cardiff
5,15 Sep 15:00,1,2,False,1,4.5,186551,21815,23605,-1790,45,0,0,0,0,0,0,0,0,0,0,10,11.8,1.9,0.0,1.4,0,0,0,2,2,0,0,0,40,39,0,0,0,1,0,0,0,1,46,Newcastle
6,23 Sep 16:00,2,0,True,0,4.5,174515,7984,20898,-12914,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Everton
7,29 Sep 15:00,2,0,True,0,4.5,159527,2422,17703,-15281,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Watford
8,07 Oct 12:00,1,5,False,1,4.5,149181,1668,12724,-11056,10,0,0,0,0,0,0,0,0,0,0,3,4.2,0.7,0.0,0.5,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,74,Fulham
9,22 Oct 20:00,3,1,True,1,4.5,140074,2910,13002,-10092,29,0,0,0,0,0,0,0,0,0,0,6,1.6,5.6,0.0,0.7,0,0,0,0,3,0,0,0,35,31,0,0,0,1,0,0,2,1,81,Leicester
10,28 Oct 13:30,2,2,False,1,4.5,132641,2054,9724,-7670,90,0,0,0,2,0,0,1,0,0,0,7,17.8,3.7,0.0,2.2,0,0,0,2,11,0,0,0,74,61,0,0,0,1,0,0,3,0,93,Crystal Palace
11,03 Nov 17:30,1,1,True,0,4.5,119933,1612,14652,-13040,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Liverpool
12,11 Nov 16:30,1,1,True,1,4.5,115593,1827,6904,-5077,45,0,0,0,0,0,0,0,0,0,0,8,8.0,2.8,0.0,1.1,0,0,0,1,3,0,0,0,35,29,0,0,0,0,0,0,0,0,111,Wolves
13,25 Nov 13:30,1,2,False,1,4.5,112263,1605,5388,-3783,11,0,0,0,0,0,0,0,0,0,0,4,4.0,1.1,0.0,0.5,0,0,0,1,3,0,0,0,12,11,0,0,0,0,0,0,0,0,121,Bournemouth
14,02 Dec 14:05,4,2,True,1,4.5,110363,904,3137,-2233,19,0,0,0,0,0,0,0,0,0,0,2,5.4,0.8,0.0,0.6,0,0,0,1,2,0,0,0,10,7,0,0,0,1,0,0,0,0,131,Spurs
15,05 Dec 20:00,2,2,False,2,4.5,107496,1156,4069,-2913,90,0,0,0,2,0,0,0,0,0,0,9,15.2,11.1,8.0,3.4,0,1,0,1,7,0,0,0,74,65,0,0,0,5,0,0,1,2,145,Man Utd
16,08 Dec 15:00,1,0,True,2,4.5,107653,3392,3580,-188,90,0,0,1,0,0,0,1,0,0,0,16,13.4,54.6,2.0,7.0,0,0,1,1,6,5,0,0,51,48,0,0,0,2,0,0,1,0,151,Huddersfield
17,16 Dec 13:30,3,2,False,2,4.5,107601,4202,5093,-891,90,0,0,0,3,0,0,0,0,0,0,16,8.2,17.6,22.0,4.8,0,0,1,0,5,1,2,0,64,57,0,0,0,2,0,1,0,0,167,Southampton
18,22 Dec 12:30,3,1,True,1,4.5,107902,3561,3783,-222,90,0,0,0,1,0,0,1,0,0,0,6,8.0,17.2,0.0,2.5,0,0,0,1,2,1,1,0,59,49,0,0,0,2,0,0,2,0,171,Burnley
19,26 Dec 17:15,1,1,False,2,4.5,108092,4262,4667,-405,90,0,0,0,1,0,0,0,0,0,0,17,14.8,15.9,0.0,3.1,0,0,0,1,6,1,1,0,90,84,0,0,0,2,0,0,0,2,181,Brighton
20,29 Dec 17:30,5,1,False,1,4.5,107126,3656,4878,-1222,10,0,0,0,0,0,0,0,0,0,0,2,0.8,0.3,0.0,0.1,0,0,0,0,1,0,0,0,13,10,0,0,0,1,0,0,0,0,196,Liverpool
21,01 Jan 15:00,4,1,True,2,4.5,104926,2842,5496,-2654,90,0,0,0,1,0,0,0,0,0,0,20,16.6,18.5,17.0,5.2,0,0,1,2,5,1,3,0,45,36,0,0,0,3,0,0,1,2,201,Fulham
22,12 Jan 12:30,1,0,False,2,4.4,104681,5395,6498,-1103,90,0,0,0,1,0,0,0,0,0,0,14,9.6,3.1,11.0,2.4,0,0,0,2,5,0,1,0,63,57,0,0,0,1,0,2,0,1,220,West Ham
23,19 Jan 17:30,2,0,True,3,4.4,103745,6415,7829,-1414,90,0,0,1,0,0,0,0,0,0,0,10,15.4,1.3,0.0,1.7,0,0,0,5,6,0,0,0,34,25,0,0,0,0,0,0,2,0,221,Chelsea
24,29 Jan 19:45,2,1,True,1,4.4,108380,8098,4456,3642,90,0,0,0,1,0,0,1,0,0,0,13,22.8,28.6,23.0,7.4,0,0,0,5,9,2,0,0,83,73,0,0,0,3,0,1,0,3,231,Cardiff
25,03 Feb 16:30,3,1,False,2,4.4,108126,3625,3785,-160,90,0,0,0,3,0,0,0,0,0,0,19,17.8,12.9,0.0,3.1,0,0,0,3,9,1,0,0,58,53,0,0,0,0,0,0,0,2,248,Man City
26,09 Feb 15:00,1,2,False,2,4.4,115072,9691,4035,5656,90,0,0,0,1,0,0,0,0,0,0,8,8.0,0.8,0.0,0.9,0,0,0,2,7,0,0,0,36,30,0,0,0,4,0,0,1,0,254,Huddersfield
27,24 Feb 14:05,2,0,True,0,4.4,118560,7208,4216,2992,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,Southampton
28,27 Feb 19:45,5,1,True,2,4.4,117518,2142,3427,-1285,90,0,0,0,1,0,0,0,0,0,0,5,3.6,20.0,25.0,4.9,0,0,0,3,8,1,0,0,96,84,0,0,1,2,0,2,2,0,271,Bournemouth
29,02 Mar 12:30,1,1,False,1,4.4,116469,2281,3546,-1265,45,0,0,0,0,0,0,0,0,0,0,7,1.2,0.8,0.0,0.2,0,0,0,2,3,0,2,0,15,11,0,0,0,0,0,0,1,0,287,Spurs
30,10 Mar 16:30,2,0,True,0,4.4,115609,2408,3654,-1246,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,Man Utd
31,01 Apr 20:00,2,0,True,3,4.4,109803,1134,3482,-2348,90,0,0,1,0,0,0,0,0,0,0,13,13.0,9.1,0.0,2.2,0,0,0,2,9,0,1,0,94,87,0,0,0,3,0,0,3,1,311,Newcastle
32,07 Apr 14:05,1,0,False,1,4.4,110415,1275,1586,-311,90,0,0,0,1,0,0,1,0,0,0,6,8.2,3.0,0.0,1.1,0,0,0,3,3,0,0,0,51,43,0,0,0,0,0,0,2,0,323,Everton
33,15 Apr 20:00,0,1,False,1,4.4,108120,642,3057,-2415,31,0,0,0,0,0,0,0,0,0,0,5,8.6,2.3,2.0,1.3,0,0,0,2,5,0,0,0,27,23,0,0,0,1,0,0,0,1,340,Watford
34,21 Apr 16:00,2,3,True,1,4.4,105925,942,3146,-2204,90,0,0,0,3,0,0,1,0,0,0,13,17.2,30.6,4.0,5.2,0,0,0,0,9,2,0,0,86,78,0,0,0,2,0,0,1,2,341,Crystal Palace
