,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 12:30,0.0,0.0,1.0,0.0,4.5,52659.0,301.0,15357.0,-15056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Newcastle
2,25 Aug 15:00,0.0,0.0,0.0,0.0,4.5,42414.0,171.0,10800.0,-10629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Huddersfield
3,02 Sep 13:30,2.0,3.0,1.0,0.0,4.4,37138.0,710.0,6389.0,-5679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Arsenal
4,15 Sep 15:00,4.0,1.0,0.0,0.0,4.4,32064.0,390.0,5641.0,-5251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Chelsea
5,22 Sep 15:00,0.0,5.0,1.0,0.0,4.4,28168.0,162.0,4147.0,-3985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,Man City
6,30 Sep 16:00,1.0,2.0,1.0,0.0,4.4,25918.0,88.0,2378.0,-2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Burnley
7,06 Oct 15:00,1.0,0.0,0.0,0.0,4.4,24540.0,106.0,1503.0,-1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,Spurs
8,20 Oct 15:00,4.0,2.0,1.0,1.0,4.4,22975.0,201.0,1811.0,-1610.0,76.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.8,10.5,2.0,2.2,0.0,1.0,0.0,2.0,8.0,0.0,1.0,0.0,41.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.0,Fulham
9,27 Oct 15:00,4.0,1.0,0.0,2.0,4.4,22282.0,214.0,955.0,-741.0,72.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.2,1.3,0.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,96.0,Liverpool
10,03 Nov 15:00,0.0,1.0,1.0,2.0,4.4,22143.0,559.0,782.0,-223.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.3,0.0,1.5,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,31.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Leicester
11,10 Nov 12:30,2.0,1.0,1.0,2.0,4.4,22263.0,670.0,626.0,44.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.8,33.2,12.0,6.0,0.0,0.0,0.0,2.0,11.0,3.0,1.0,0.0,59.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,Brighton
