,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,False,3,5.5,65757,0,0,0,90,0,0,1,0,0,0,0,0,0,0,9,3.6,6.7,11.0,2.1,0,0,0,2,6,0,0,0,49,42,0,0,0,3,0,1,0,0,1,Arsenal
2,19 Aug 13:30,6,1,True,2,5.5,93620,19214,9140,10074,81,0,0,0,1,0,0,0,0,0,0,17,10.8,30.3,22.0,6.3,0,0,1,1,2,1,1,0,78,73,0,0,0,0,0,0,1,0,18,Huddersfield
3,25 Aug 12:30,1,1,False,8,5.5,96966,15173,16810,-1637,76,0,1,0,1,0,0,0,0,0,3,28,29.6,37.8,38.0,10.5,0,1,1,1,6,2,0,0,76,73,0,0,0,1,0,0,0,0,30,Wolves
4,01 Sep 17:30,2,1,True,1,5.5,188993,92818,19228,73590,14,0,0,0,0,0,0,0,0,0,0,2,0.0,1.3,1.0,0.1,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,1,0,0,38,Newcastle
5,15 Sep 15:00,3,0,True,1,5.5,183084,24844,32983,-8139,23,0,0,0,0,0,0,0,0,0,0,12,8.6,14.7,8.0,3.1,0,0,0,1,1,1,1,0,46,46,0,0,0,0,0,0,0,0,45,Fulham
6,22 Sep 15:00,0,5,False,13,5.5,150205,4444,38334,-33890,68,1,1,1,0,0,0,0,0,0,2,49,57.4,39.2,37.0,13.4,0,1,2,0,2,2,3,0,44,41,0,1,0,1,0,1,0,0,54,Cardiff
7,29 Sep 15:00,2,0,True,0,5.6,266025,113762,10651,103111,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,Brighton
8,07 Oct 16:30,0,0,False,0,5.6,214358,11621,57075,-45454,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Liverpool
9,20 Oct 15:00,5,0,True,0,5.5,151433,2355,66534,-64179,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,Burnley
10,29 Oct 20:00,0,1,False,0,5.5,116720,244,36967,-36723,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Spurs
11,04 Nov 15:00,6,1,True,0,5.4,99483,188,18301,-18113,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,Southampton
12,11 Nov 16:30,3,1,True,6,5.4,94082,681,6619,-5938,15,1,0,0,0,0,0,0,0,0,0,18,33.0,1.8,36.0,7.1,0,0,0,1,1,0,0,0,15,14,0,0,0,2,0,1,0,0,118,Man Utd
13,24 Nov 15:00,0,4,False,3,5.4,103363,11015,2981,8034,68,0,0,1,0,0,0,0,0,0,0,12,6.4,17.2,21.0,4.5,0,0,0,1,3,1,0,0,45,40,0,0,0,0,0,0,0,0,129,West Ham
14,01 Dec 15:00,3,1,True,10,5.4,99686,2502,5861,-3359,90,1,0,0,1,0,0,0,0,0,3,38,52.8,48.3,33.0,13.4,0,2,0,2,6,2,2,0,82,73,0,0,0,0,0,0,2,1,138,Bournemouth
15,04 Dec 20:00,1,2,False,1,5.4,143912,44706,3546,41160,17,0,0,0,1,0,0,0,0,0,0,3,2.8,12.0,2.0,1.7,0,0,0,0,2,1,0,0,18,17,0,0,0,1,0,0,0,0,146,Watford
16,08 Dec 17:30,2,0,False,1,5.4,142417,11063,11046,17,22,0,0,0,1,0,0,0,0,0,0,6,5.4,24.4,18.0,4.8,0,0,0,0,3,2,0,0,19,17,0,0,0,0,0,0,0,0,155,Chelsea
17,15 Dec 12:30,3,1,True,2,5.4,139878,9730,13711,-3981,90,0,0,0,1,0,0,0,0,0,0,16,8.6,55.3,14.0,7.8,0,1,0,2,11,3,0,0,73,64,0,0,0,0,0,1,1,1,166,Everton
18,22 Dec 15:00,2,3,True,7,5.4,137186,7323,10593,-3270,90,1,0,0,3,0,0,0,0,0,0,27,41.2,28.4,20.0,9.0,0,1,0,1,4,1,0,0,69,57,0,0,0,2,0,1,1,0,177,Crystal Palace
19,26 Dec 15:00,2,1,False,2,5.4,156456,23836,7122,16714,90,0,0,0,2,0,0,0,0,0,0,14,9.0,16.2,0.0,2.5,0,0,0,2,6,1,0,0,75,68,0,0,0,1,0,0,1,0,185,Leicester
20,30 Dec 14:15,1,3,False,0,5.4,161582,17412,12652,4760,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,Southampton
21,03 Jan 20:00,2,1,True,1,5.4,135151,3459,29482,-26023,25,0,0,0,0,0,0,0,0,0,0,3,2.6,1.9,0.0,0.5,0,0,0,2,1,0,0,0,13,10,0,0,0,0,0,0,1,0,207,Liverpool
22,14 Jan 20:00,3,0,True,1,5.4,128165,8362,16556,-8194,16,0,0,0,0,0,0,0,0,0,0,2,12.8,18.3,45.0,7.6,0,1,0,1,1,1,0,0,19,18,0,0,0,3,0,0,0,0,218,Wolves
23,20 Jan 13:30,0,3,False,3,5.4,122280,5963,12319,-6356,79,0,0,1,0,0,0,0,0,0,0,10,3.2,6.3,26.0,3.6,0,0,0,1,2,0,0,0,61,51,0,0,0,1,0,1,0,2,224,Huddersfield
24,29 Jan 20:00,2,1,False,1,5.4,120559,4670,7050,-2380,7,0,0,0,0,0,0,0,0,0,0,6,4.4,14.3,8.0,2.7,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,2,238,Newcastle
