entry,value
player_id,197
web_name,Hadergjonaj
team,Huddersfield
first_name,Florent
second_name,Hadergjonaj
cost_end,4.3
value_form,0.0
value_season,11.6
cost_change_start,-0.2
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,50
ppg,2.1
minutes,1837
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,1
bps,307
influence,286.8
creativity,395.7
threat,80.0
ict_index,76.2
ea_index,0
position,Defender
