entry,value
player_id,323
web_name,Hayden
team,Newcastle
first_name,Isaac
second_name,Hayden
cost_end,4.3
value_form,0.6
value_season,16.0
cost_change_start,-0.2
cost_start,4.5
dreamteam_count,1
selected_by_percent,1.4
total_points,69
ppg,2.8
minutes,1857
goals_scored,1
assists,4
clean_sheets,7
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,1
saves,0
bonus,5
bps,306
influence,412.0
creativity,298.8
threat,232.0
ict_index,94.4
ea_index,0
position,Midfielder
