,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Jan 15:00,0,0,True,1,4.5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1.2,0.3,0.0,0.2,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,1,0,213,Huddersfield
2,19 Jan 15:00,3,0,False,0,4.5,1761,2183,729,1454,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,Newcastle
3,29 Jan 19:45,2,1,False,0,4.5,2984,1805,668,1137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,Arsenal
4,02 Feb 17:30,2,0,True,0,4.5,6997,2987,755,2232,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,Bournemouth
5,09 Feb 15:00,1,2,False,0,4.5,5972,1738,1276,462,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,Southampton
6,22 Feb 19:45,1,5,True,0,4.5,6039,992,1034,-42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,Watford
7,26 Feb 19:45,0,3,True,0,4.5,6117,411,435,-24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,Everton
8,02 Mar 15:00,2,0,False,1,4.5,6231,521,460,61,14,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,290,Wolves
9,09 Mar 15:00,2,0,True,0,4.5,6513,711,529,182,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,West Ham
10,31 Mar 14:05,1,2,True,0,4.5,6758,651,582,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,Chelsea
11,03 Apr 19:45,2,0,False,0,4.5,6758,651,582,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Man City
12,13 Apr 15:00,2,0,False,0,4.5,6403,392,399,-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,Burnley
13,16 Apr 19:45,0,2,False,0,4.5,6403,392,399,-7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,Brighton
14,21 Apr 16:00,0,2,True,0,4.5,6283,299,438,-139,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,Liverpool
15,27 Apr 15:00,1,0,False,1,4.5,6269,200,263,-63,18,0,0,0,1,0,0,0,0,0,0,3,3.0,10.3,10.0,2.3,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,354,Fulham
16,04 May 17:30,2,3,True,0,4.5,6484,468,301,167,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,Crystal Palace
17,12 May 15:00,0,2,False,0,4.5,6344,250,390,-140,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,Man Utd
