entry,value
player_id,249
web_name,Henderson
team,Liverpool
first_name,Jordan
second_name,Henderson
cost_end,5.3
value_form,0.7
value_season,14.3
cost_change_start,-0.2
cost_start,5.5
dreamteam_count,1
selected_by_percent,0.7
total_points,76
ppg,2.4
minutes,1976
goals_scored,1
assists,3
clean_sheets,12
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,1
saves,0
bonus,2
bps,397
influence,358.8
creativity,311.7
threat,182.0
ict_index,85.4
ea_index,0
position,Midfielder
