,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0,0,False,3,5.5,9008,0,0,0,75,0,0,1,0,0,0,0,0,0,0,1,5.4,6.5,33.0,4.5,0,0,0,0,1,0,1,0,30,20,0,1,0,4,0,0,1,1,8,Southampton
2,19 Aug 13:30,1,3,True,2,5.5,10653,800,957,-157,69,0,0,0,3,0,0,0,0,0,0,5,5.6,3.0,23.0,3.2,0,0,0,1,2,0,0,0,26,23,0,0,0,2,0,0,0,1,12,Watford
3,26 Aug 16:00,4,2,False,7,5.5,10150,440,1357,-917,90,1,0,0,4,0,0,0,0,0,0,29,38.6,16.1,63.0,11.8,0,0,0,1,3,1,0,0,36,32,0,0,0,0,2,1,0,2,23,Fulham
4,02 Sep 16:00,0,2,True,1,5.5,12242,2440,1230,1210,57,0,0,0,2,0,0,0,0,0,0,3,0.4,6.0,0.0,0.6,0,0,0,0,2,0,0,0,28,26,0,0,0,0,0,0,0,0,32,Man Utd
5,16 Sep 13:30,1,0,False,2,5.5,12998,1736,1469,267,78,0,0,0,1,0,0,0,0,0,0,14,9.2,13.2,0.0,2.2,0,0,0,2,7,1,0,0,49,44,0,0,0,1,0,0,0,1,50,Wolves
6,22 Sep 15:00,4,0,True,0,5.5,12607,659,1245,-586,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Bournemouth
7,30 Sep 16:00,1,2,False,0,5.5,11518,193,1315,-1122,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,Cardiff
8,06 Oct 15:00,1,1,True,1,5.5,10831,162,920,-758,17,0,0,0,0,0,0,0,0,0,0,4,1.6,0.4,0.0,0.2,0,0,0,1,3,0,0,0,10,8,0,0,0,0,0,0,0,0,72,Huddersfield
9,20 Oct 15:00,5,0,False,1,5.4,10093,100,883,-783,90,0,0,0,5,0,0,1,0,0,0,5,4.4,5.2,20.0,3.0,0,1,0,1,1,0,0,0,31,28,0,0,0,5,0,0,1,1,87,Man City
10,28 Oct 13:30,0,4,True,1,5.4,9685,56,497,-441,64,0,0,0,3,0,0,1,0,0,0,0,0.0,0.6,0.0,0.0,0,0,0,0,1,0,0,0,16,14,0,0,0,0,2,0,1,0,92,Chelsea
11,03 Nov 15:00,4,2,False,0,5.4,9301,66,471,-405,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,West Ham
