,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,20 Aug 20:00,0.0,2.0,1.0,2.0,4.5,110567.0,23718.0,6459.0,17259.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,30.2,0.0,0.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Liverpool
2,26 Aug 13:30,2.0,1.0,0.0,2.0,4.5,148738.0,47647.0,15668.0,31979.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,23.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,26.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Watford
3,01 Sep 15:00,0.0,2.0,1.0,8.0,4.5,191464.0,49712.0,13355.0,36357.0,90.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,34.0,60.8,0.0,0.0,6.1,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,Southampton
4,15 Sep 15:00,0.0,1.0,0.0,6.0,4.5,253852.0,72311.0,19002.0,53309.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,17.8,0.0,0.0,1.8,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,Huddersfield
5,22 Sep 15:00,0.0,0.0,1.0,8.0,4.6,364076.0,108668.0,10734.0,97934.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0,18.6,0.0,0.0,1.9,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Newcastle
6,01 Oct 20:00,2.0,1.0,0.0,2.0,4.6,427537.0,66886.0,9455.0,57431.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,26.2,0.0,0.0,2.6,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Bournemouth
7,06 Oct 15:00,0.0,1.0,1.0,2.0,4.6,460160.0,40811.0,10727.0,30084.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Wolves
8,21 Oct 16:00,2.0,0.0,0.0,1.0,4.6,440689.0,12688.0,30891.0,-18203.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,17.6,0.0,0.0,1.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,Everton
9,28 Oct 13:30,2.0,2.0,1.0,1.0,4.6,407811.0,2819.0,35162.0,-32343.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,Arsenal
10,04 Nov 16:00,3.0,1.0,0.0,2.0,4.6,371843.0,915.0,38055.0,-37140.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,17.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,Chelsea
11,10 Nov 17:30,0.0,1.0,1.0,2.0,4.6,357474.0,1075.0,16981.0,-15906.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,7.8,0.0,0.0,0.8,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,Spurs
12,24 Nov 15:00,0.0,0.0,0.0,10.0,4.5,345342.0,1361.0,13588.0,-12227.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,34.0,34.4,0.0,0.0,3.4,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,Man Utd
13,01 Dec 15:00,2.0,0.0,1.0,6.0,4.5,380136.0,31087.0,2903.0,28184.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,Burnley
14,04 Dec 19:45,3.0,1.0,0.0,1.0,4.5,398504.0,24685.0,5976.0,18709.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.4,0.0,0.0,0.2,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,Brighton
15,08 Dec 15:00,3.0,2.0,0.0,2.0,4.5,397069.0,9521.0,9715.0,-194.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,18.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,160.0,West Ham
16,15 Dec 15:00,1.0,0.0,1.0,0.0,4.5,401532.0,10650.0,8990.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,Leicester
