,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,02 Feb 15:00,5.0,0.0,1.0,13.0,9.5,112523.0,40699.0,15394.0,25305.0,90.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,73.2,33.2,92.0,19.8,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,44.0,31.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,244.0,Huddersfield
2,10 Feb 16:00,6.0,0.0,0.0,2.0,9.5,212724.0,126670.0,27905.0,98765.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.8,13.4,45.0,6.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,18.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,256.0,Man City
3,27 Feb 20:00,2.0,0.0,1.0,2.0,9.5,161277.0,13187.0,21185.0,-7998.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,14.6,19.0,3.5,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,24.0,20.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,276.0,Spurs
4,03 Mar 14:05,1.0,2.0,0.0,8.0,9.5,230031.0,87117.0,19730.0,67387.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,36.8,38.7,71.0,14.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,285.0,Fulham
5,10 Mar 14:05,1.0,1.0,1.0,2.0,9.6,288761.0,74018.0,16308.0,57710.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.2,12.4,84.0,10.8,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,17.0,11.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,293.0,Wolves
6,17 Mar 16:30,2.0,0.0,0.0,2.0,9.6,306934.0,33630.0,40825.0,-7195.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,27.4,31.0,6.4,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,22.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,304.0,Everton
7,31 Mar 14:05,1.0,2.0,0.0,2.0,9.6,298280.0,62700.0,51543.0,11157.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.6,27.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,26.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,314.0,Cardiff
8,03 Apr 19:45,3.0,0.0,1.0,0.0,9.6,298280.0,62700.0,51543.0,11157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,Brighton
9,08 Apr 20:00,2.0,0.0,1.0,2.0,9.5,259021.0,9675.0,43660.0,-33985.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.4,18.8,35.0,6.3,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,322.0,West Ham
10,14 Apr 16:30,2.0,0.0,0.0,1.0,9.3,147033.0,835.0,114764.0,-113929.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.8,1.0,2.0,0.6,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,336.0,Liverpool
