entry,value
player_id,579
web_name,Higuaín
team,Crystal Palace
first_name,Gonzalo
second_name,Higuaín
cost_end,9.0
value_form,0.5
value_season,5.9
cost_change_start,-5
cost_start,14.0
dreamteam_count,1
selected_by_percent,1.5
total_points,53
ppg,3.8
minutes,1084
goals_scored,5
assists,0
clean_sheets,5
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,6
bps,178
influence,240.4
creativity,241.7
threat,644.0
ict_index,112.0
ea_index,0
position,Forward
