,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,0.0,2.0,5.5,20590.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.8,25.4,8.0,4.5,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,Bournemouth
2,18 Aug 12:30,0.0,0.0,1.0,3.0,5.5,19405.0,659.0,2867.0,-2208.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.2,5.6,12.0,2.5,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,18.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,13.0,Newcastle
3,25 Aug 15:00,0.0,0.0,0.0,0.0,5.4,13240.0,126.0,6254.0,-6128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Huddersfield
4,02 Sep 13:30,2.0,3.0,1.0,1.0,5.3,9939.0,32.0,3493.0,-3461.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2,6.0,0.8,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,33.0,Arsenal
5,15 Sep 15:00,4.0,1.0,0.0,2.0,5.3,8718.0,122.0,1461.0,-1339.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.4,14.8,0.0,2.9,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,17.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,42.0,Chelsea
6,22 Sep 15:00,0.0,5.0,1.0,2.0,5.2,7828.0,80.0,1016.0,-936.0,74.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.6,0.8,0.0,0.7,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,54.0,Man City
7,30 Sep 16:00,1.0,2.0,1.0,0.0,5.2,7380.0,120.0,631.0,-511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,Burnley
8,06 Oct 15:00,1.0,0.0,0.0,2.0,5.2,6682.0,54.0,750.0,-696.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.3,38.0,4.5,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,79.0,Spurs
9,20 Oct 15:00,4.0,2.0,1.0,0.0,5.1,6510.0,195.0,452.0,-257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,Fulham
10,27 Oct 15:00,4.0,1.0,0.0,5.0,5.1,6086.0,31.0,464.0,-433.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.6,0.3,1.0,0.7,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,96.0,Liverpool
