,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,True,0,4.5,29752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Man City
2,18 Aug 17:30,3,2,False,0,4.5,34584,1182,4424,-3242,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Chelsea
3,25 Aug 15:00,3,1,True,0,4.5,31627,658,4776,-4118,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,West Ham
4,02 Sep 13:30,2,3,False,0,4.4,29855,377,3242,-2865,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Cardiff
5,15 Sep 15:00,1,2,False,0,4.4,28592,298,2280,-1982,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Newcastle
6,23 Sep 16:00,2,0,True,1,4.4,27951,194,1290,-1096,51,0,0,0,0,0,0,0,0,0,0,9,12.0,0.5,0.0,1.3,0,0,0,6,4,0,0,0,36,31,0,0,0,1,0,0,1,0,51,Everton
7,29 Sep 15:00,2,0,True,9,4.4,27855,487,1003,-516,90,0,0,1,0,0,0,0,0,0,3,31,23.0,0.9,2.0,2.6,0,0,0,10,9,0,0,0,45,40,0,0,0,0,0,0,0,1,61,Watford
8,07 Oct 12:00,1,5,False,2,4.4,31920,3896,820,3076,90,0,0,0,1,0,0,0,0,0,0,15,23.0,0.0,0.0,2.3,0,0,0,5,6,0,1,0,61,51,0,0,0,0,0,0,1,0,74,Fulham
9,22 Oct 20:00,3,1,True,1,4.4,35317,4259,1421,2838,90,0,0,0,1,0,0,1,0,0,0,8,18.8,0.3,7.0,2.6,0,0,0,3,3,0,0,0,61,53,0,0,0,0,0,1,1,1,81,Leicester
10,28 Oct 13:30,2,2,False,1,4.4,37179,2794,1305,1489,90,0,0,0,2,0,0,0,0,0,0,15,14.6,0.9,2.0,1.8,0,0,0,7,2,0,0,0,73,66,0,0,0,0,0,0,0,0,93,Crystal Palace
11,03 Nov 17:30,1,1,True,4,4.4,37398,1739,1755,-16,90,0,0,0,1,0,0,0,0,0,2,23,34.4,0.8,0.0,3.5,0,0,0,10,6,0,2,0,82,75,0,0,0,0,0,0,0,0,101,Liverpool
12,11 Nov 16:30,1,1,True,2,4.4,48849,10810,1045,9765,90,0,0,0,1,0,0,0,0,0,0,15,21.6,1.0,0.0,2.3,0,0,0,2,11,0,0,0,90,85,0,0,0,1,0,0,1,1,111,Wolves
13,25 Nov 13:30,1,2,False,2,4.4,51185,4599,2161,2438,90,0,0,0,1,0,0,0,0,0,0,13,19.6,12.1,0.0,3.2,0,0,0,3,4,1,2,0,71,53,0,0,0,1,0,0,1,0,121,Bournemouth
14,02 Dec 14:05,4,2,True,1,4.4,51809,2041,1547,494,90,0,0,0,2,0,0,0,0,0,0,14,14.8,11.0,3.0,2.9,0,0,0,7,8,1,1,0,65,60,1,0,0,1,0,1,1,0,131,Spurs
15,05 Dec 20:00,2,2,False,1,4.4,54139,3797,1744,2053,35,0,0,0,1,0,0,0,0,0,0,5,6.0,1.2,0.0,0.7,0,0,0,3,2,0,0,0,31,23,0,0,0,1,0,0,0,0,145,Man Utd
16,08 Dec 15:00,1,0,True,0,4.4,43793,2082,11919,-9837,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,Huddersfield
17,16 Dec 13:30,3,2,False,0,4.4,35665,84,8675,-8591,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,Southampton
18,22 Dec 12:30,3,1,True,0,4.4,32498,39,3526,-3487,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,Burnley
19,26 Dec 17:15,1,1,False,0,4.4,30605,36,1992,-1956,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,Brighton
20,29 Dec 17:30,5,1,False,0,4.4,29237,28,1441,-1413,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,Liverpool
21,01 Jan 15:00,4,1,True,0,4.3,28466,54,911,-857,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,Fulham
22,12 Jan 12:30,1,0,False,0,4.3,27442,79,1207,-1128,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,West Ham
23,19 Jan 17:30,2,0,True,0,4.3,26727,30,815,-785,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,Chelsea
24,29 Jan 19:45,2,1,True,0,4.3,26264,40,579,-539,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,Cardiff
25,03 Feb 16:30,3,1,False,0,4.3,26031,29,290,-261,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,Man City
26,09 Feb 15:00,1,2,False,0,4.3,25696,22,402,-380,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,Huddersfield
27,24 Feb 14:05,2,0,True,0,4.3,25361,32,406,-374,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,Southampton
28,27 Feb 19:45,5,1,True,0,4.3,25289,16,147,-131,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,Bournemouth
