entry,value
player_id,392
web_name,Hughes
team,Watford
first_name,Will
second_name,Hughes
cost_end,4.9
value_form,0.4
value_season,17.8
cost_change_start,-0.1
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.7
total_points,87
ppg,2.7
minutes,2419
goals_scored,2
assists,4
clean_sheets,7
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,5
bps,320
influence,429.2
creativity,416.0
threat,451.0
ict_index,129.6
ea_index,0
position,Midfielder
