,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0,0,True,0,4.5,23517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Burnley
2,18 Aug 15:00,2,1,False,0,4.5,22544,437,2617,-2180,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Everton
3,25 Aug 15:00,1,2,True,-1,4.5,20345,429,2973,-2544,76,0,0,0,2,0,0,0,1,0,0,4,2.6,28.5,5.0,3.6,0,0,0,3,7,2,1,0,73,70,0,0,0,1,0,2,4,1,28,Leicester
4,01 Sep 15:00,0,2,False,9,4.4,21651,3289,2980,309,90,1,0,1,0,0,0,0,0,0,1,34,51.8,24.8,25.0,10.2,0,0,0,4,16,2,0,0,76,65,0,0,0,1,0,1,2,1,35,Crystal Palace
5,17 Sep 20:00,2,2,True,10,4.4,81330,70019,19739,50280,90,1,0,0,2,0,0,0,0,0,3,38,60.4,16.4,9.0,8.6,0,0,0,10,8,1,1,0,78,64,0,0,0,0,0,0,0,0,47,Brighton
6,22 Sep 15:00,3,0,False,2,4.4,176257,101461,14504,86957,90,0,0,0,3,0,0,0,0,0,0,10,6.4,5.1,40.0,5.2,0,0,0,1,7,0,0,0,80,73,0,0,0,3,0,0,2,1,58,Liverpool
7,29 Sep 15:00,2,0,False,2,4.5,245235,79332,14040,65292,90,0,0,0,2,0,0,0,0,0,0,25,22.4,9.2,0.0,3.2,0,0,0,1,12,0,4,0,86,77,0,0,0,0,0,0,0,3,70,Wolves
8,07 Oct 14:15,0,3,True,1,4.5,289535,58991,15156,43835,90,0,0,0,3,0,0,1,0,0,0,12,14.4,27.3,18.0,6.0,0,1,1,3,12,2,1,0,52,44,0,0,1,2,0,0,3,0,78,Chelsea
9,20 Oct 15:00,0,0,False,3,4.5,323785,56084,23205,32879,90,0,0,1,0,0,0,0,0,0,0,15,24.0,3.6,22.0,5.0,0,0,1,3,8,1,2,0,60,47,0,0,0,2,0,0,2,0,82,Bournemouth
10,27 Oct 15:00,0,0,True,0,4.5,330512,24188,16937,7251,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,Newcastle
11,04 Nov 15:00,6,1,False,2,4.5,281839,3492,49719,-46227,90,0,0,0,6,0,0,0,0,0,0,13,12.6,13.1,0.0,2.6,0,0,0,2,9,1,0,0,59,53,0,0,0,0,0,0,2,0,107,Man City
12,10 Nov 15:00,1,1,True,1,4.5,273274,5469,16439,-10970,90,0,0,0,1,0,0,1,0,0,0,12,15.0,12.0,1.0,2.8,0,0,0,7,7,1,2,0,47,38,0,0,0,3,0,1,1,0,120,Watford
13,24 Nov 15:00,3,2,False,1,4.5,261618,5077,16946,-11869,90,0,0,0,3,0,0,1,0,0,0,7,19.8,4.7,50.0,7.5,0,0,0,3,4,0,2,0,73,60,0,0,0,5,0,1,0,0,125,Fulham
14,01 Dec 17:30,2,2,True,1,4.5,254792,3087,10659,-7572,90,0,0,0,2,0,0,1,0,0,0,5,8.6,22.0,14.0,4.5,0,0,0,0,8,1,1,0,67,61,0,0,0,4,0,2,3,0,140,Man Utd
15,05 Dec 20:00,3,1,False,2,4.5,244670,3514,13182,-9668,87,0,0,0,3,0,0,0,0,0,0,12,11.6,3.6,22.0,3.7,0,0,0,2,5,0,2,0,59,53,0,0,0,2,0,2,0,0,150,Spurs
16,08 Dec 15:00,1,0,False,2,4.4,241141,7207,11528,-4321,90,0,0,0,1,0,0,0,0,0,0,14,16.8,18.9,9.0,4.5,0,1,0,3,6,1,0,0,63,47,0,0,0,0,0,1,0,2,154,Cardiff
17,16 Dec 13:30,3,2,True,2,4.4,235899,9465,15557,-6092,90,0,0,0,2,0,0,0,0,0,0,13,12.6,7.2,8.0,2.8,0,0,0,4,7,0,0,0,49,40,0,0,0,2,0,0,1,2,167,Arsenal
18,22 Dec 15:00,1,3,False,4,4.4,234406,9942,12284,-2342,90,0,1,0,1,0,0,1,0,0,0,22,26.0,17.2,16.0,5.9,0,0,1,4,10,1,2,0,45,32,0,0,0,2,0,2,2,1,176,Huddersfield
19,27 Dec 19:45,1,2,True,0,4.4,210071,3779,26817,-23038,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,West Ham
20,30 Dec 14:15,1,3,True,4,4.4,200011,5025,15679,-10654,84,1,0,0,3,0,0,0,1,0,0,19,45.2,1.4,35.0,8.2,0,0,0,3,7,0,1,0,29,19,0,0,0,1,0,0,2,2,198,Man City
21,02 Jan 19:45,0,0,False,0,4.4,184539,5679,21867,-16188,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,Chelsea
22,12 Jan 15:00,1,2,False,0,4.4,164543,3545,23660,-20115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,Leicester
23,19 Jan 15:00,2,1,True,2,4.4,160085,13770,19005,-5235,90,0,0,0,1,0,0,0,0,0,0,17,19.2,18.6,0.0,3.8,0,1,0,4,11,1,4,0,40,30,0,0,0,6,0,0,1,1,228,Everton
24,30 Jan 19:45,1,1,True,1,4.4,164451,11823,8077,3746,83,0,0,0,1,0,0,1,0,0,0,0,1.8,18.0,15.0,3.5,0,0,0,0,7,1,0,0,62,59,0,1,0,5,0,2,2,0,239,Crystal Palace
25,02 Feb 15:00,1,1,False,0,4.4,154930,2588,9939,-7351,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,Burnley
