,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,False,2,6.0,47721,0,0,0,90,0,0,0,2,0,0,0,0,0,0,2,1.4,4.9,28.0,3.4,0,0,0,0,1,0,1,0,18,17,0,0,0,4,1,0,1,0,6,Man Utd
2,18 Aug 15:00,2,0,True,1,6.0,66677,12350,7694,4656,8,0,0,0,0,0,0,0,0,0,0,4,3.0,11.2,0.0,1.4,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,0,0,1,17,Wolves
3,25 Aug 15:00,1,2,False,5,6.0,63685,8933,14372,-5439,66,0,1,0,1,0,0,0,0,0,0,15,1.6,3.5,6.0,1.1,0,0,0,0,3,0,1,0,17,11,0,0,0,2,0,0,2,1,28,Southampton
4,01 Sep 12:30,1,2,True,1,6.0,60845,4098,9245,-5147,29,0,0,0,0,0,0,0,0,0,0,3,3.2,10.8,6.0,2.0,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,0,1,0,37,Liverpool
5,15 Sep 15:00,4,2,False,4,5.9,55157,3542,10892,-7350,29,0,1,0,1,0,0,0,0,0,0,10,16.0,15.6,0.0,3.2,0,1,0,0,1,1,0,0,6,5,0,0,0,1,0,0,3,0,41,Bournemouth
6,22 Sep 15:00,3,1,True,12,5.9,54526,3853,5802,-1949,76,1,1,0,1,0,0,0,0,0,3,48,55.2,49.7,21.0,12.6,0,0,1,0,9,4,0,0,33,25,0,0,0,3,0,1,0,1,57,Huddersfield
7,29 Sep 15:00,0,2,False,2,5.9,85599,30904,4414,26490,90,0,0,1,0,0,0,0,0,0,0,9,8.2,9.2,9.0,2.6,0,0,0,0,3,0,2,0,37,26,0,0,0,4,0,0,0,0,68,Newcastle
8,06 Oct 15:00,1,2,True,5,5.9,84970,8400,8537,-137,66,0,1,0,1,0,0,0,0,0,0,16,19.6,26.6,2.0,4.8,0,0,0,1,1,2,0,0,23,15,0,0,0,1,0,0,0,0,75,Everton
9,22 Oct 20:00,3,1,False,2,5.9,86030,10520,10981,-461,60,0,0,0,1,0,0,0,0,0,0,4,4.6,3.8,27.0,3.5,0,0,0,1,2,0,0,0,16,11,0,0,0,3,0,0,0,1,81,Arsenal
10,27 Oct 17:30,1,1,True,2,5.9,103366,22818,7356,15462,60,0,0,0,1,0,0,0,0,0,0,0,0.0,2.8,25.0,2.5,0,0,0,0,0,0,1,0,13,9,0,1,0,0,2,1,2,0,95,West Ham
11,03 Nov 15:00,0,1,False,0,5.9,120803,27565,11184,16381,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,Cardiff
12,10 Nov 15:00,0,0,True,0,5.9,101958,5874,24025,-18151,30,0,0,0,0,0,0,1,0,0,0,-3,1.2,10.3,22.0,3.4,0,0,0,1,0,0,0,0,5,3,0,0,0,1,0,0,2,0,116,Burnley
13,24 Nov 15:00,1,1,False,4,5.9,86592,3847,20046,-16199,20,0,1,0,0,0,0,0,0,0,0,10,1.4,1.0,22.0,2.4,0,0,0,0,0,0,0,0,10,9,0,0,0,1,0,1,0,0,122,Brighton
14,01 Dec 15:00,2,0,True,1,5.9,84624,3382,6032,-2650,18,0,0,0,0,0,0,0,0,0,0,2,1.4,3.3,0.0,0.5,0,0,0,0,3,0,0,0,7,5,0,0,0,1,0,0,1,0,136,Watford
15,05 Dec 19:45,1,1,False,2,5.9,78957,2276,8015,-5739,90,0,0,0,1,0,0,0,0,0,0,2,7.0,21.6,21.0,5.0,0,0,0,0,2,2,0,0,14,12,0,1,0,2,1,0,0,0,144,Fulham
16,08 Dec 19:45,0,2,True,1,5.9,74330,1818,6444,-4626,55,0,0,0,1,0,0,0,0,0,0,4,1.6,2.0,2.0,0.6,0,0,0,0,2,0,0,0,11,10,0,0,0,0,1,0,0,2,157,Spurs
17,15 Dec 15:00,1,0,False,1,5.9,74955,4895,5285,-390,17,0,0,0,0,0,0,0,0,0,0,6,2.2,13.6,0.0,1.6,0,0,1,0,0,1,0,0,5,3,0,0,0,1,0,0,0,0,162,Crystal Palace
18,22 Dec 15:00,0,1,False,1,5.9,68935,585,6521,-5936,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,1.0,0.0,0,0,0,0,1,0,0,0,4,2,0,0,0,2,1,1,0,1,174,Chelsea
19,26 Dec 15:00,2,1,True,0,5.9,64699,555,5024,-4469,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,Man City
