,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0.0,0.0,1.0,1.0,5.5,82610.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,41.8,16.0,6.4,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,8.0,Burnley
2,18 Aug 15:00,2.0,1.0,0.0,7.0,5.5,100810.0,12128.0,9066.0,3062.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,34.6,11.7,112.0,15.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,12.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,16.0,Everton
3,25 Aug 15:00,1.0,2.0,1.0,2.0,5.6,292660.0,199560.0,33081.0,166479.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.4,2.3,60.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,28.0,Leicester
4,01 Sep 15:00,0.0,2.0,0.0,8.0,5.6,263075.0,27282.0,52421.0,-25139.0,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,49.2,22.2,30.0,10.1,0.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,24.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,35.0,Crystal Palace
5,17 Sep 20:00,2.0,2.0,1.0,7.0,5.6,457662.0,216104.0,45130.0,170974.0,83.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,42.2,15.4,58.0,11.6,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,20.0,13.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,47.0,Brighton
6,22 Sep 15:00,3.0,0.0,0.0,0.0,5.7,379114.0,24483.0,90234.0,-65751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Liverpool
7,29 Sep 15:00,2.0,0.0,0.0,2.0,5.7,383907.0,27757.0,29262.0,-1505.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.2,14.8,34.0,5.9,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,24.0,18.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,70.0,Wolves
8,07 Oct 14:15,0.0,3.0,1.0,1.0,5.7,350640.0,9162.0,41508.0,-32346.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,7.8,11.8,41.0,6.1,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,15.0,14.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,78.0,Chelsea
9,20 Oct 15:00,0.0,0.0,0.0,2.0,5.6,320621.0,12332.0,45617.0,-33285.0,78.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.2,0.7,7.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.0,Bournemouth
10,27 Oct 15:00,0.0,0.0,1.0,2.0,5.6,333108.0,29338.0,20958.0,8380.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.6,48.5,52.0,11.4,0.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,98.0,Newcastle
11,04 Nov 15:00,6.0,1.0,0.0,6.0,5.6,291110.0,10863.0,50661.0,-39798.0,81.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,38.6,2.8,77.0,11.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,10.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,107.0,Man City
12,10 Nov 15:00,1.0,1.0,1.0,6.0,5.5,309407.0,34490.0,20054.0,14436.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,18.4,10.8,2.0,3.1,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,Watford
13,24 Nov 15:00,3.0,2.0,0.0,0.0,5.5,257113.0,9090.0,58589.0,-49499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,Fulham
14,01 Dec 17:30,2.0,2.0,1.0,0.0,5.4,226971.0,2947.0,35186.0,-32239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,Man Utd
15,05 Dec 20:00,3.0,1.0,0.0,0.0,5.4,198028.0,1880.0,30323.0,-28443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,Spurs
16,08 Dec 15:00,1.0,0.0,0.0,0.0,5.4,176936.0,1647.0,23123.0,-21476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,Cardiff
17,16 Dec 13:30,3.0,2.0,1.0,13.0,5.4,164080.0,2985.0,16977.0,-13992.0,70.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,69.4,0.7,41.0,11.1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,167.0,Arsenal
18,22 Dec 15:00,1.0,3.0,0.0,8.0,5.5,318477.0,149955.0,5750.0,144205.0,64.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,34.6,1.6,19.0,5.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,22.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,176.0,Huddersfield
19,27 Dec 19:45,1.0,2.0,1.0,2.0,5.6,514308.0,199921.0,11982.0,187939.0,61.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.5,14.0,1.9,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,188.0,West Ham
20,30 Dec 14:15,1.0,3.0,1.0,0.0,5.6,536371.0,73842.0,44433.0,29409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,Man City
21,02 Jan 19:45,0.0,0.0,0.0,1.0,5.6,507977.0,48048.0,77340.0,-29292.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,0.2,4.0,0.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,204.0,Chelsea
22,12 Jan 15:00,1.0,2.0,0.0,0.0,5.6,350351.0,19189.0,177353.0,-158164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,Leicester
