,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,-3,4.5,100143,0,0,0,39,0,0,0,2,0,0,0,1,0,0,-5,0.0,0.0,0.0,0.0,0,0,0,2,3,0,0,0,24,19,0,0,0,0,0,0,1,0,10,Wolves
2,18 Aug 15:00,2,1,True,0,4.5,65137,897,38631,-37734,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Southampton
3,25 Aug 15:00,2,2,False,0,4.4,52941,789,14151,-13362,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,0,4.4,46007,495,7971,-7476,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Huddersfield
5,16 Sep 16:00,1,3,True,0,4.4,39537,140,6807,-6667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,West Ham
6,23 Sep 16:00,2,0,False,0,4.4,36436,62,3311,-3249,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Arsenal
7,29 Sep 15:00,3,0,True,0,4.3,34387,78,2226,-2148,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,Fulham
8,06 Oct 15:00,1,2,False,0,4.3,33129,76,1419,-1343,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,Leicester
9,21 Oct 16:00,2,0,True,0,4.3,31454,78,1802,-1724,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Crystal Palace
10,28 Oct 16:00,2,1,False,0,4.3,30738,78,898,-820,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Man Utd
11,03 Nov 15:00,3,1,True,0,4.3,30068,147,935,-788,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,Brighton
12,11 Nov 14:15,0,0,False,1,4.3,29275,74,898,-824,14,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,113,Chelsea
13,24 Nov 15:00,1,0,True,0,4.3,29392,406,485,-79,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Cardiff
14,02 Dec 16:15,1,0,False,0,4.3,29229,136,363,-227,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,Liverpool
15,05 Dec 19:45,1,1,True,0,4.3,29052,164,394,-230,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,Newcastle
16,10 Dec 20:00,2,2,True,0,4.3,28903,176,410,-234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,Watford
17,15 Dec 12:30,3,1,False,0,4.3,28761,211,478,-267,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,Man City
18,23 Dec 16:00,2,6,True,0,4.3,28658,177,383,-206,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,Spurs
19,26 Dec 15:00,1,5,False,0,4.3,28459,172,459,-287,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,Burnley
20,29 Dec 15:00,1,0,False,0,4.3,28215,173,513,-340,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,Brighton
21,01 Jan 12:30,0,1,True,0,4.3,28167,209,365,-156,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,Leicester
22,13 Jan 14:15,2,0,True,0,4.3,28069,256,536,-280,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,Bournemouth
23,19 Jan 15:00,2,1,False,0,4.3,27655,152,608,-456,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,Southampton
24,29 Jan 19:45,0,1,False,0,4.3,26997,48,718,-670,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,Huddersfield
25,02 Feb 15:00,1,3,True,0,4.3,26738,39,322,-283,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,Wolves
26,06 Feb 19:45,0,2,True,0,4.3,26738,39,322,-283,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,Man City
27,09 Feb 15:00,1,0,False,0,4.3,26396,43,408,-365,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,Watford
