entry,value
player_id,158
web_name,Jagielka
team,Huddersfield
first_name,Phil
second_name,Jagielka
cost_end,4.3
value_form,0.1
value_season,5.1
cost_change_start,-2
cost_start,6.3
dreamteam_count,1
selected_by_percent,0.6
total_points,22
ppg,3.1
minutes,329
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,1
saves,0
bonus,3
bps,80
influence,82.2
creativity,21.4
threat,43.0
ict_index,14.6
ea_index,0
position,Defender
