,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,7,5.0,24868,0,0,0,90,0,0,1,0,0,0,0,0,0,1,25,15.2,6.3,21.0,4.3,0,1,0,7,7,0,1,0,37,23,0,0,0,1,0,1,1,2,9,Brighton
2,19 Aug 13:30,1,3,False,1,5.0,32621,3793,2013,1780,90,0,0,0,1,0,0,1,0,0,0,10,16.8,6.7,2.0,2.6,0,1,0,5,9,0,1,0,30,20,0,0,0,0,0,0,1,0,12,Burnley
3,26 Aug 13:30,2,1,True,7,5.0,31860,2107,3920,-1813,90,0,1,0,1,0,0,1,0,0,3,26,38.2,34.3,5.0,7.8,0,3,0,6,8,2,2,0,34,26,0,0,0,0,0,1,2,1,29,Crystal Palace
4,02 Sep 16:00,2,1,True,2,5.0,35491,4759,3005,1754,90,0,0,0,1,0,0,0,0,0,0,21,30.2,43.8,2.0,7.6,0,3,0,8,6,3,0,0,30,22,0,0,0,0,0,0,1,2,39,Spurs
5,15 Sep 17:30,1,2,True,1,5.0,35940,2612,3285,-673,71,0,0,0,2,0,0,0,0,0,0,9,7.6,0.6,0.0,0.8,0,0,0,0,5,0,1,0,19,13,0,0,0,0,0,0,0,0,49,Man Utd
6,22 Sep 12:30,1,1,False,2,5.0,36153,1871,2279,-408,90,0,0,0,1,0,0,0,0,0,0,14,17.8,1.8,0.0,2.0,0,0,0,8,9,0,0,0,32,26,0,0,0,0,0,0,3,0,56,Fulham
7,29 Sep 15:00,2,0,False,0,5.0,31034,878,6132,-5254,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Arsenal
8,06 Oct 15:00,0,4,True,0,5.0,25040,49,6065,-6016,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Bournemouth
9,20 Oct 15:00,0,2,False,0,4.9,20751,46,4458,-4412,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,Wolves
10,27 Oct 15:00,3,0,True,0,4.9,19181,32,1757,-1725,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Huddersfield
