entry,value
player_id,381
web_name,Janmaat
team,Watford
first_name,Daryl
second_name,Janmaat
cost_end,4.9
value_form,0.4
value_season,10.2
cost_change_start,-1
cost_start,5.9
dreamteam_count,0
selected_by_percent,0.4
total_points,50
ppg,2.8
minutes,1520
goals_scored,0
assists,2
clean_sheets,3
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,6
bps,274
influence,346.2
creativity,212.2
threat,118.0
ict_index,67.8
ea_index,0
position,Defender
