,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2.0,2.0,1.0,1.0,4.5,29970.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.8,6.8,3.0,1.1,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,Everton
2,18 Aug 15:00,2.0,0.0,0.0,1.0,4.5,29201.0,828.0,3051.0,-2223.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.4,22.7,10.0,4.5,0.0,0.0,0.0,3.0,7.0,2.0,1.0,0.0,33.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,17.0,Leicester
3,25 Aug 12:30,1.0,1.0,1.0,2.0,4.5,25134.0,730.0,5132.0,-4402.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.2,15.3,2.0,3.7,0.0,1.0,0.0,4.0,3.0,1.0,2.0,0.0,20.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,Man City
4,01 Sep 15:00,0.0,1.0,0.0,9.0,4.4,23042.0,1077.0,3590.0,-2513.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,29.4,23.8,10.0,6.3,0.0,0.0,0.0,5.0,5.0,2.0,4.0,0.0,37.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40.0,West Ham
5,16 Sep 13:30,1.0,0.0,1.0,6.0,4.4,34298.0,12770.0,4228.0,8542.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.4,43.3,56.0,11.9,0.0,1.0,0.0,4.0,7.0,3.0,0.0,0.0,49.0,37.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,50.0,Burnley
6,22 Sep 15:00,1.0,1.0,0.0,2.0,4.4,38260.0,6620.0,3157.0,3463.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.2,1.8,6.0,2.1,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,27.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,Man Utd
7,29 Sep 15:00,2.0,0.0,1.0,12.0,4.4,48024.0,10176.0,2244.0,7932.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,55.2,3.0,58.0,11.6,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,32.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,70.0,Southampton
8,06 Oct 15:00,0.0,1.0,0.0,5.0,4.4,110131.0,59583.0,5207.0,54376.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,10.0,1.6,0.0,1.2,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,23.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,73.0,Crystal Palace
9,20 Oct 15:00,0.0,2.0,1.0,0.0,4.5,177802.0,72668.0,10582.0,62086.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.4,0.6,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90.0,Watford
10,27 Oct 15:00,1.0,0.0,0.0,2.0,4.5,172001.0,10847.0,13732.0,-2885.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.4,34.4,2.0,4.9,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,Brighton
