entry,value
player_id,432
web_name,Jota
team,West Brom
first_name,Diogo
second_name,Jota
cost_end,6.3
value_form,0.9
value_season,22.1
cost_change_start,-2
cost_start,8.3
dreamteam_count,3
selected_by_percent,8.5
total_points,139
ppg,4.2
minutes,2352
goals_scored,9
assists,8
clean_sheets,10
goals_conceded,29
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,11
red_cards,0
saves,0
bonus,13
bps,386
influence,559.6
creativity,402.5
threat,888.0
ict_index,185.0
ea_index,0
position,Midfielder
