entry,value
player_id,189
web_name,Kamara
team,Leicester
first_name,Aboubakar
second_name,Kamara
cost_end,4.5
value_form,0.0
value_season,6.2
cost_change_start,0
cost_start,4.5
dreamteam_count,0
selected_by_percent,5.1
total_points,28
ppg,2.2
minutes,688
goals_scored,3
assists,0
clean_sheets,1
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,82
influence,150.0
creativity,149.5
threat,244.0
ict_index,53.1
ea_index,0
position,Forward
