,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0.0,3.0,0.0,8.0,5.0,889970.0,0.0,0.0,0.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.4,11.2,17.0,7.1,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,53.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,Huddersfield
2,18 Aug 17:30,3.0,2.0,1.0,2.0,5.0,1138893.0,101732.0,38846.0,62886.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.4,49.6,44.0,10.9,0.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,62.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,14.0,Arsenal
3,26 Aug 16:00,1.0,2.0,0.0,2.0,5.0,1227896.0,129120.0,94225.0,34895.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,17.8,2.0,4.1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,80.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27.0,Newcastle
4,01 Sep 15:00,2.0,0.0,1.0,2.0,5.0,1243573.0,67680.0,85342.0,-17662.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,9.3,2.0,1.9,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,62.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,Bournemouth
5,15 Sep 15:00,4.0,1.0,1.0,2.0,5.0,1213538.0,48019.0,100620.0,-52601.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.8,8.4,2.0,2.2,0.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,69.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,42.0,Cardiff
6,23 Sep 13:30,0.0,0.0,0.0,2.0,5.0,1140649.0,18487.0,100867.0,-82380.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,9.8,34.5,26.0,7.0,0.0,2.0,0.0,2.0,7.0,2.0,0.0,0.0,42.0,34.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,60.0,West Ham
7,29 Sep 17:30,1.0,1.0,1.0,2.0,5.0,1078801.0,9721.0,77704.0,-67983.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,19.4,0.0,2.4,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,44.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.0,Liverpool
8,07 Oct 14:15,0.0,3.0,0.0,3.0,5.0,1047793.0,12280.0,49502.0,-37222.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.4,26.3,14.0,5.2,0.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,54.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,Southampton
9,20 Oct 12:30,2.0,2.0,1.0,2.0,5.0,1010460.0,14894.0,58995.0,-44101.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.8,13.6,17.0,5.2,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,42.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,Man Utd
10,28 Oct 13:30,0.0,4.0,0.0,6.0,4.9,988351.0,13317.0,39904.0,-26587.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.6,42.9,18.0,9.2,0.0,1.0,0.0,0.0,6.0,3.0,1.0,0.0,82.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,92.0,Burnley
11,04 Nov 16:00,3.0,1.0,1.0,2.0,4.9,980284.0,22854.0,36231.0,-13377.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,25.1,0.0,4.3,0.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,60.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,104.0,Crystal Palace
12,11 Nov 14:15,0.0,0.0,1.0,2.0,4.9,963292.0,15177.0,35693.0,-20516.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.6,4.4,21.0,3.2,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,45.0,40.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,113.0,Everton
13,24 Nov 17:30,3.0,1.0,0.0,2.0,4.9,945674.0,11682.0,32859.0,-21177.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.4,14.1,8.0,4.2,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,48.0,40.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,127.0,Spurs
14,02 Dec 12:00,2.0,0.0,1.0,6.0,4.9,943914.0,12432.0,17855.0,-5423.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,26.0,16.3,12.0,5.4,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,60.0,52.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,133.0,Fulham
