,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,0,4.5,5338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Watford
2,19 Aug 16:00,3,2,True,1,4.5,5542,170,658,-488,1,0,0,0,1,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Man Utd
3,25 Aug 17:30,1,0,False,0,4.5,5462,336,651,-315,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Liverpool
4,01 Sep 15:00,2,2,True,0,4.5,5279,226,543,-317,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Fulham
5,17 Sep 20:00,2,2,False,0,4.4,5676,705,640,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Southampton
6,22 Sep 17:30,1,2,True,1,4.4,5476,265,427,-162,69,0,0,0,2,0,0,1,0,0,0,6,10.6,12.3,4.0,2.7,0,0,1,1,2,1,1,0,12,9,0,0,0,0,0,0,3,0,52,Spurs
7,29 Sep 15:00,2,0,False,2,4.4,5548,310,311,-1,90,0,0,0,2,0,0,0,0,0,0,12,14.2,0.7,2.0,1.7,0,0,0,7,7,0,2,0,23,16,0,0,0,3,0,0,0,0,67,Man City
8,05 Oct 20:00,1,0,True,5,4.4,6053,620,284,336,90,0,1,1,0,0,0,1,0,0,0,22,49.4,14.8,0.0,6.4,0,1,1,10,7,1,0,0,21,16,0,0,0,2,0,0,2,2,71,West Ham
9,20 Oct 15:00,0,1,False,7,4.4,13025,7598,1626,5972,90,1,0,1,0,0,0,1,0,0,0,23,43.4,1.1,21.0,6.6,0,0,0,3,3,0,0,1,19,12,0,0,0,3,0,0,1,1,88,Newcastle
10,27 Oct 15:00,1,0,True,2,4.4,39495,27456,3313,24143,90,0,0,1,0,0,0,1,0,0,0,15,24.6,0.8,0.0,2.5,0,0,0,6,9,0,3,0,27,19,0,0,0,1,0,0,2,3,91,Wolves
11,03 Nov 15:00,3,1,False,2,4.4,51754,19021,6002,13019,77,0,0,0,3,0,0,0,0,0,0,7,13.4,11.2,2.0,2.7,0,0,0,2,5,1,0,0,30,18,0,0,0,1,0,0,2,1,105,Everton
12,10 Nov 12:30,2,1,False,2,4.4,61247,13617,4633,8984,90,0,0,0,2,0,0,0,0,0,0,8,17.6,10.8,0.0,2.8,0,0,0,3,5,1,0,0,33,23,0,0,0,1,0,0,2,2,112,Cardiff
13,24 Nov 15:00,1,1,True,2,4.4,62850,7811,5918,1893,90,0,0,0,1,0,0,0,0,0,0,5,7.4,1.2,18.0,2.7,0,0,0,5,5,0,1,0,37,27,1,0,0,2,0,1,3,1,122,Leicester
14,01 Dec 15:00,1,2,False,1,4.4,65161,5483,3365,2118,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135,Huddersfield
15,04 Dec 19:45,3,1,True,0,4.4,62788,3011,5198,-2187,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,Crystal Palace
16,08 Dec 15:00,1,0,False,0,4.4,57278,714,5965,-5251,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,Burnley
17,16 Dec 13:30,1,2,True,0,4.4,50610,417,7325,-6908,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,Chelsea
