,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,20 Aug 20:00,0.0,2.0,0.0,3.0,7.5,274042.0,29249.0,24883.0,4366.0,86.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,20.2,34.0,7.2,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,64.0,55.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,15.0,Crystal Palace
2,25 Aug 17:30,1.0,0.0,1.0,3.0,7.5,264524.0,19526.0,40806.0,-21280.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.6,16.2,3.0,2.9,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,62.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.0,Brighton
3,01 Sep 12:30,1.0,2.0,0.0,1.0,7.5,241132.0,10758.0,41078.0,-30320.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.2,1.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,Leicester
4,15 Sep 12:30,1.0,2.0,0.0,3.0,7.4,204418.0,4341.0,45260.0,-40919.0,82.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.6,5.2,24.0,3.6,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,28.0,24.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,48.0,Spurs
5,22 Sep 15:00,3.0,0.0,1.0,1.0,7.4,184346.0,2861.0,25623.0,-22762.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.8,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Southampton
6,29 Sep 17:30,1.0,1.0,0.0,1.0,7.3,161105.0,1190.0,25620.0,-24430.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.6,0.7,3.0,1.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,64.0,Chelsea
7,07 Oct 16:30,0.0,0.0,1.0,3.0,7.3,143790.0,751.0,18801.0,-18050.0,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.4,0.6,2.0,0.7,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,Man City
8,20 Oct 17:30,0.0,1.0,0.0,0.0,7.2,128117.0,1261.0,17707.0,-16446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,Huddersfield
9,27 Oct 15:00,4.0,1.0,1.0,0.0,7.2,117538.0,96.0,11093.0,-10997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,Cardiff
10,03 Nov 17:30,1.0,1.0,0.0,0.0,7.2,110261.0,70.0,7646.0,-7576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,Arsenal
11,11 Nov 12:00,2.0,0.0,1.0,1.0,7.2,107653.0,353.0,3336.0,-2983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,Fulham
12,24 Nov 15:00,0.0,3.0,0.0,0.0,7.2,106552.0,371.0,1977.0,-1606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,Watford
13,02 Dec 16:15,1.0,0.0,1.0,1.0,7.2,105624.0,165.0,1262.0,-1097.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,137.0,Everton
14,05 Dec 19:45,1.0,3.0,0.0,2.0,7.2,105037.0,266.0,1001.0,-735.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,5.1,91.0,11.8,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,59.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,143.0,Burnley
15,08 Dec 12:30,0.0,4.0,0.0,3.0,7.2,105835.0,1387.0,903.0,484.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,2.7,22.0,4.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,33.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,152.0,Bournemouth
16,16 Dec 16:00,3.0,1.0,1.0,2.0,7.2,104909.0,561.0,1622.0,-1061.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.8,14.8,34.0,5.1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,30.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,165.0,Man Utd
17,21 Dec 20:00,0.0,2.0,0.0,1.0,7.2,104320.0,351.0,1180.0,-829.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.2,4.7,20.0,2.7,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,38.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,180.0,Wolves
18,26 Dec 15:00,4.0,0.0,1.0,0.0,7.2,101690.0,77.0,2672.0,-2595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,Newcastle
19,29 Dec 17:30,5.0,1.0,1.0,0.0,7.2,100563.0,128.0,1389.0,-1261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,Arsenal
20,03 Jan 20:00,2.0,1.0,0.0,0.0,7.2,99750.0,99.0,1043.0,-944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,Man City
21,12 Jan 15:00,0.0,1.0,0.0,1.0,7.2,98635.0,225.0,1506.0,-1281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,Brighton
22,19 Jan 15:00,4.0,3.0,1.0,5.0,7.2,97849.0,136.0,1048.0,-912.0,71.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.2,19.3,12.0,5.2,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,45.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,225.0,Crystal Palace
23,30 Jan 20:00,1.0,1.0,1.0,2.0,7.2,97587.0,383.0,866.0,-483.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.8,7.3,2.0,1.9,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,76.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,237.0,Leicester
24,04 Feb 20:00,1.0,1.0,0.0,2.0,7.1,97430.0,155.0,414.0,-259.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.2,22.7,12.0,4.6,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,84.0,76.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,250.0,West Ham
25,09 Feb 15:00,3.0,0.0,1.0,3.0,7.1,97339.0,383.0,696.0,-313.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.4,12.3,12.0,4.3,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,97.0,88.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,255.0,Bournemouth
26,24 Feb 14:05,0.0,0.0,0.0,0.0,7.1,97929.0,910.0,755.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,Man Utd
27,27 Feb 20:00,5.0,0.0,1.0,1.0,7.1,97913.0,348.0,406.0,-58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,277.0,Watford
