entry,value
player_id,256
web_name,Keita
team,Liverpool
first_name,Naby
second_name,Keita
cost_end,7.1
value_form,0.4
value_season,9.4
cost_change_start,-0.4
cost_start,7.5
dreamteam_count,1
selected_by_percent,1.5
total_points,67
ppg,2.7
minutes,1385
goals_scored,2
assists,1
clean_sheets,10
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,246
influence,293.6
creativity,213.1
threat,356.0
ict_index,86.3
ea_index,0
position,Midfielder
