,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 12:30,1,2,True,2,5.0,115700,0,0,0,90,0,0,0,2,0,0,0,0,0,0,8,10.4,1.5,5.0,1.7,0,0,0,6,9,0,1,0,29,18,0,1,0,7,0,1,0,6,7,Spurs
2,18 Aug 12:30,0,0,False,1,5.0,127727,12465,9549,2916,90,0,0,1,0,0,0,0,0,0,0,-7,10.6,0.6,48.0,5.9,0,0,0,1,3,0,1,0,14,8,0,1,0,8,0,0,1,2,13,Cardiff
3,26 Aug 16:00,1,2,True,0,5.0,87566,1746,40867,-39121,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Chelsea
4,01 Sep 17:30,2,1,False,1,5.0,79467,2246,12075,-9829,53,0,0,0,2,0,0,0,0,0,0,6,7.2,0.7,0.0,0.8,0,0,0,3,5,0,0,0,11,8,0,0,0,0,0,0,1,2,38,Man City
5,15 Sep 15:00,1,2,True,1,5.0,72919,3449,10643,-7194,21,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,0,0,0,4,0,0,0,7,6,0,0,0,1,0,0,2,1,46,Arsenal
6,22 Sep 15:00,0,0,False,3,5.0,64470,1203,9853,-8650,90,0,0,1,0,0,0,0,0,0,0,6,7.2,2.7,0.0,1.0,0,0,0,2,7,0,3,0,23,15,0,0,0,6,1,0,2,0,55,Crystal Palace
7,29 Sep 15:00,0,2,True,2,4.9,60764,1525,5494,-3969,90,0,0,0,2,0,0,0,0,0,0,14,18.4,1.3,0.0,2.0,0,0,0,5,5,0,4,0,43,30,0,0,0,3,0,0,0,0,68,Leicester
8,06 Oct 17:30,3,2,False,8,4.9,57231,1196,4695,-3499,67,1,0,1,0,0,0,0,0,0,0,23,40.2,0.8,21.0,6.2,0,0,0,4,4,0,0,0,15,10,0,0,0,2,0,1,1,0,77,Man Utd
9,20 Oct 15:00,0,1,True,2,4.9,65153,13957,6730,7227,90,0,0,0,1,0,0,0,0,0,0,7,10.2,33.2,63.0,10.6,0,2,0,1,7,2,1,0,43,34,0,0,0,6,0,3,3,3,88,Brighton
10,27 Oct 15:00,0,0,False,3,4.9,71566,9991,4108,5883,90,0,0,1,0,0,0,0,0,0,0,10,10.2,13.3,18.0,4.2,0,0,0,4,9,1,0,0,34,24,0,0,0,2,1,0,1,0,98,Southampton
11,03 Nov 15:00,1,0,True,3,4.9,73396,7584,5933,1651,90,0,0,1,0,0,0,0,0,0,0,14,16.0,17.3,40.0,7.3,0,1,0,4,5,1,2,0,25,17,0,0,0,1,1,2,2,5,108,Watford
12,10 Nov 15:00,2,1,True,6,4.9,78269,8535,4079,4456,77,0,1,0,1,0,0,0,0,0,1,20,25.4,16.4,37.0,7.9,0,1,1,1,6,1,1,0,23,17,0,1,0,2,0,0,0,1,119,Bournemouth
13,26 Nov 20:30,1,2,False,2,4.9,95463,20835,4846,15989,89,0,0,0,1,0,0,0,0,0,0,5,0.6,13.3,31.0,4.5,0,0,0,2,7,2,0,0,36,28,0,0,0,4,1,3,2,2,123,Burnley
14,01 Dec 15:00,0,3,True,2,4.9,102020,10550,3722,6828,69,0,0,0,2,0,0,0,0,0,0,5,6.0,26.2,3.0,3.5,0,1,0,0,5,2,1,0,23,20,0,0,0,6,0,1,1,1,139,West Ham
15,05 Dec 19:45,1,1,False,0,4.9,97637,4453,8254,-3801,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,Everton
16,09 Dec 16:00,1,2,True,1,4.9,88004,1791,11049,-9258,1,0,0,0,1,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,159,Wolves
17,15 Dec 15:00,0,1,False,3,4.9,80441,1163,9410,-8247,88,0,0,1,0,0,0,0,0,0,0,10,14.2,0.6,1.0,1.6,0,0,0,11,10,0,0,0,29,10,0,0,0,3,0,1,0,0,164,Huddersfield
18,22 Dec 15:00,0,0,True,0,4.9,70702,534,10362,-9828,18,0,0,0,0,0,0,1,0,0,0,1,2.4,5.7,3.0,1.1,0,1,0,1,2,0,1,0,6,5,0,0,0,0,0,1,1,0,178,Fulham
19,26 Dec 15:00,4,0,False,2,4.9,62167,326,8958,-8632,72,0,0,0,2,0,0,0,0,0,0,7,8.2,5.0,2.0,1.5,0,0,0,1,7,0,0,0,16,12,0,0,0,4,0,0,0,3,186,Liverpool
20,29 Dec 15:00,1,1,False,0,4.9,56819,362,5821,-5459,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,Watford
21,02 Jan 20:00,0,2,True,1,4.8,52703,225,4514,-4289,21,0,0,0,1,0,0,0,0,0,0,3,6.8,15.8,0.0,2.3,0,1,0,0,2,1,0,0,14,13,0,0,0,2,0,0,0,0,208,Man Utd
22,12 Jan 17:30,2,1,False,0,4.8,46933,352,6209,-5857,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,Chelsea
23,19 Jan 15:00,3,0,True,0,4.8,42358,294,4867,-4573,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,Cardiff
24,29 Jan 20:00,2,1,True,1,4.8,40033,87,2545,-2458,3,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,238,Man City
25,02 Feb 12:30,1,0,False,1,4.8,38751,150,1362,-1212,8,0,0,0,1,0,0,0,0,0,0,2,0.2,1.2,0.0,0.1,0,0,0,0,0,0,0,0,10,9,0,0,0,1,0,0,0,0,249,Spurs
26,11 Feb 20:00,1,1,False,0,4.8,37899,307,1341,-1034,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,Wolves
27,23 Feb 15:00,2,0,True,1,4.8,37195,493,1124,-631,22,0,0,0,0,0,0,0,0,0,0,4,6.0,19.0,17.0,4.2,0,0,0,0,3,1,0,0,23,18,0,0,0,1,0,0,1,1,269,Huddersfield
28,26 Feb 20:00,2,0,True,0,4.8,36823,278,823,-545,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,Burnley
29,02 Mar 17:30,2,0,False,0,4.7,36005,159,969,-810,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,West Ham
30,09 Mar 15:00,3,2,True,1,4.7,35478,192,751,-559,17,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,0,0,0,0,2,0,1,0,5,5,0,0,0,1,0,0,0,0,299,Everton
