,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,False,0,4.5,11386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Wolves
2,18 Aug 15:00,2,1,True,0,4.5,11468,379,1980,-1601,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Southampton
3,25 Aug 15:00,2,2,False,0,4.4,10424,341,1864,-1523,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Bournemouth
4,01 Sep 15:00,1,1,True,0,4.4,9600,259,1396,-1137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Huddersfield
5,16 Sep 16:00,1,3,True,4,4.4,9160,339,1014,-675,90,0,1,0,3,0,0,0,0,0,0,17,26.0,17.3,4.0,4.7,0,1,0,2,5,1,1,0,55,38,0,0,0,2,0,0,2,1,43,West Ham
6,23 Sep 16:00,2,0,False,1,4.3,10629,1726,776,950,90,0,0,0,2,0,0,0,0,0,0,15,19.0,2.5,0.0,2.2,0,0,0,9,4,0,2,0,36,26,0,0,0,1,0,0,1,0,51,Arsenal
7,29 Sep 15:00,3,0,True,6,4.3,11656,1414,654,760,90,0,0,1,0,0,0,0,0,0,0,23,15.0,13.3,3.0,3.1,0,0,0,5,4,1,1,0,37,28,0,0,0,1,0,1,1,0,65,Fulham
8,06 Oct 15:00,1,2,False,2,4.3,13616,2318,705,1613,90,0,0,0,1,0,0,0,0,0,0,7,9.4,2.0,0.0,1.1,0,0,0,3,4,0,0,0,41,27,0,0,0,1,0,0,1,1,75,Leicester
9,21 Oct 16:00,2,0,True,0,4.3,15935,3048,1099,1949,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Crystal Palace
10,28 Oct 16:00,2,1,False,0,4.3,14381,307,1774,-1467,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Man Utd
