entry,value
player_id,383
web_name,Kiko Femenía
team,Watford
first_name,Francisco
second_name,Femenía Far
cost_end,4.2
value_form,0.2
value_season,15.7
cost_change_start,-3
cost_start,7.2
dreamteam_count,1
selected_by_percent,1.2
total_points,66
ppg,2.3
minutes,2043
goals_scored,1
assists,1
clean_sheets,4
goals_conceded,40
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,6
bps,412
influence,420.2
creativity,252.9
threat,87.0
ict_index,76.0
ea_index,0
position,Defender
