entry,value
player_id,45
web_name,King
team,Bournemouth
first_name,Joshua
second_name,King
cost_end,6.4
value_form,0.5
value_season,22.0
cost_change_start,-0.1
cost_start,6.5
dreamteam_count,4
selected_by_percent,5.1
total_points,141
ppg,4.0
minutes,2963
goals_scored,12
assists,3
clean_sheets,10
goals_conceded,57
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,0
saves,0
bonus,20
bps,457
influence,655.4
creativity,535.7
threat,1058.0
ict_index,223.8
ea_index,0
position,Forward
