entry,value
player_id,263
web_name,Kompany
team,Newcastle
first_name,Vincent
second_name,Kompany
cost_end,5.2
value_form,1.3
value_season,11.2
cost_change_start,-3
cost_start,8.2
dreamteam_count,2
selected_by_percent,1.7
total_points,58
ppg,3.4
minutes,1220
goals_scored,1
assists,0
clean_sheets,6
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,4
bps,294
influence,329.0
creativity,44.2
threat,55.0
ict_index,43.0
ea_index,0
position,Defender
