,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0.0,2.0,1.0,1.0,9.5,200168.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.5,5.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,Man City
2,18 Aug 17:30,3.0,2.0,0.0,1.0,9.5,187776.0,6615.0,38198.0,-31583.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.2,10.6,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,Chelsea
3,25 Aug 15:00,3.0,1.0,1.0,4.0,9.4,142551.0,8917.0,58561.0,-49644.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.8,22.9,28.0,6.7,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,21.0,West Ham
4,02 Sep 13:30,2.0,3.0,0.0,12.0,9.4,132534.0,7766.0,23373.0,-15607.0,90.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,60.6,33.8,91.0,18.5,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,33.0,24.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,33.0,Cardiff
5,15 Sep 15:00,1.0,2.0,0.0,5.0,9.4,216426.0,91903.0,23977.0,67926.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,30.2,48.0,8.8,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,46.0,Newcastle
6,23 Sep 16:00,2.0,0.0,1.0,8.0,9.4,248909.0,52457.0,22161.0,30296.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,41.6,3.9,25.0,7.1,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,51.0,Everton
7,29 Sep 15:00,2.0,0.0,1.0,5.0,9.5,369350.0,118869.0,13813.0,105056.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,13.3,18.0,5.1,0.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,26.0,18.0,0.0,2.0,0.0,6.0,1.0,4.0,2.0,1.0,61.0,Watford
8,07 Oct 12:00,1.0,5.0,0.0,12.0,9.5,478935.0,126820.0,23452.0,103368.0,79.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,71.4,4.5,28.0,10.4,0.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,25.0,18.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,74.0,Fulham
9,22 Oct 20:00,3.0,1.0,1.0,2.0,9.7,832987.0,352181.0,20674.0,331507.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.4,8.7,72.0,8.5,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,35.0,27.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,81.0,Leicester
10,28 Oct 13:30,2.0,2.0,0.0,2.0,9.8,908359.0,136788.0,56445.0,80343.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.2,15.7,10.0,3.6,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,29.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,93.0,Crystal Palace
11,03 Nov 17:30,1.0,1.0,1.0,6.0,9.7,754405.0,32924.0,175744.0,-142820.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,38.8,25.2,109.0,17.3,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,21.0,17.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,101.0,Liverpool
12,11 Nov 16:30,1.0,1.0,1.0,2.0,9.7,826027.0,90725.0,37720.0,53005.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.6,14.8,24.0,4.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,111.0,Wolves
13,25 Nov 13:30,1.0,2.0,0.0,0.0,9.7,723170.0,30818.0,125876.0,-95058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Bournemouth
