entry,value
player_id,312
web_name,Lascelles
team,Newcastle
first_name,Jamaal
second_name,Lascelles
cost_end,4.7
value_form,0.5
value_season,20.2
cost_change_start,-0.3
cost_start,5.0
dreamteam_count,1
selected_by_percent,3.1
total_points,95
ppg,3.0
minutes,2745
goals_scored,0
assists,1
clean_sheets,10
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,8
bps,539
influence,632.4
creativity,46.8
threat,113.0
ict_index,79.6
ea_index,0
position,Defender
