,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,2.0,1.0,0.0,4.0,5.0,12024.0,1484.0,1485.0,-1.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,21.4,10.9,7.0,3.9,0.0,0.0,1.0,6.0,2.0,1.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,16.0,Everton
2,25 Aug 15:00,1.0,2.0,1.0,2.0,5.0,18504.0,7201.0,3142.0,4059.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.6,5.8,4.0,2.6,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,60.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,28.0,Leicester
3,01 Sep 15:00,0.0,2.0,0.0,3.0,5.0,18955.0,2633.0,2672.0,-39.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.6,6.6,0.0,2.8,0.0,1.0,0.0,8.0,5.0,0.0,0.0,0.0,45.0,36.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,35.0,Crystal Palace
4,17 Sep 20:00,2.0,2.0,1.0,2.0,5.0,23641.0,6214.0,3020.0,3194.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.6,2.4,0.0,2.0,0.0,0.0,0.0,6.0,9.0,0.0,3.0,0.0,64.0,53.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,47.0,Brighton
5,22 Sep 15:00,3.0,0.0,0.0,1.0,5.0,20936.0,848.0,3163.0,-2315.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.4,4.1,18.0,2.7,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,50.0,43.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,58.0,Liverpool
6,29 Sep 15:00,2.0,0.0,0.0,2.0,5.0,19192.0,327.0,2203.0,-1876.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.6,4.9,1.0,1.3,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,66.0,60.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,70.0,Wolves
7,07 Oct 14:15,0.0,3.0,1.0,1.0,5.0,18114.0,244.0,1400.0,-1156.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,24.2,37.1,13.0,7.4,0.0,1.0,0.0,7.0,4.0,3.0,1.0,0.0,29.0,25.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,78.0,Chelsea
8,20 Oct 15:00,0.0,0.0,0.0,2.0,5.0,17098.0,350.0,1536.0,-1186.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,10.8,1.4,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,82.0,Bournemouth
9,27 Oct 15:00,0.0,0.0,1.0,3.0,5.0,15057.0,60.0,2085.0,-2025.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.6,13.5,5.0,3.1,0.0,0.0,0.0,6.0,16.0,1.0,2.0,0.0,44.0,38.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,98.0,Newcastle
10,04 Nov 15:00,6.0,1.0,0.0,2.0,4.9,14483.0,241.0,928.0,-687.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.4,2.6,22.0,4.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,42.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,107.0,Man City
