entry,value
player_id,344
web_name,Lemina
team,Southampton
first_name,Mario
second_name,Lemina
cost_end,4.7
value_form,0.2
value_season,10.6
cost_change_start,-0.3
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.2
total_points,50
ppg,2.4
minutes,1612
goals_scored,1
assists,2
clean_sheets,4
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,2
bps,270
influence,313.0
creativity,214.7
threat,188.0
ict_index,71.6
ea_index,0
position,Midfielder
