,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,1.0,3.0,1.0,2.0,5.0,21092.0,4229.0,2246.0,1983.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.6,2.3,6.0,1.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,Watford
2,26 Aug 16:00,4.0,2.0,0.0,2.0,5.0,20589.0,2716.0,3829.0,-1113.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.8,11.4,4.0,1.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,23.0,Fulham
3,02 Sep 16:00,0.0,2.0,1.0,2.0,5.0,19862.0,1901.0,3218.0,-1317.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.5,6.0,0.8,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,23.0,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,32.0,Man Utd
4,16 Sep 13:30,1.0,0.0,0.0,2.0,5.0,20377.0,3120.0,3150.0,-30.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.2,1.2,2.0,1.1,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,50.0,Wolves
5,22 Sep 15:00,4.0,0.0,1.0,13.0,5.0,19756.0,1651.0,2434.0,-783.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,61.8,28.7,57.0,14.8,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,Bournemouth
6,30 Sep 16:00,1.0,2.0,0.0,1.0,5.0,81133.0,59888.0,5335.0,54553.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.8,1.5,0.0,0.8,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,19.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,63.0,Cardiff
7,06 Oct 15:00,1.0,1.0,1.0,2.0,5.0,105290.0,33628.0,9508.0,24120.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.6,21.3,4.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,Huddersfield
8,20 Oct 15:00,5.0,0.0,0.0,2.0,5.0,97526.0,14253.0,20218.0,-5965.0,68.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.8,6.0,0.7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,87.0,Man City
9,28 Oct 13:30,0.0,4.0,1.0,0.0,5.0,82007.0,2954.0,18013.0,-15059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,Chelsea
10,03 Nov 15:00,4.0,2.0,0.0,2.0,5.0,65302.0,764.0,18061.0,-17297.0,74.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.6,1.3,0.0,0.5,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,109.0,West Ham
