,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 17:30,3.0,2.0,0.0,0.0,5.0,107349.0,1857.0,16227.0,-14370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Chelsea
2,25 Aug 15:00,3.0,1.0,1.0,0.0,4.9,92305.0,1103.0,18874.0,-17771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,West Ham
3,02 Sep 13:30,2.0,3.0,0.0,0.0,4.9,82858.0,500.0,12062.0,-11562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Cardiff
4,15 Sep 15:00,1.0,2.0,0.0,0.0,4.8,77555.0,754.0,7839.0,-7085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,Newcastle
5,23 Sep 16:00,2.0,0.0,1.0,0.0,4.8,74131.0,353.0,4729.0,-4376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,Everton
6,29 Sep 15:00,2.0,0.0,1.0,2.0,4.8,70906.0,180.0,3970.0,-3790.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,26.4,0.0,0.0,2.6,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,Watford
7,07 Oct 12:00,1.0,5.0,0.0,3.0,4.8,85008.0,13379.0,1848.0,11531.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,21.6,0.0,0.0,2.2,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,Fulham
8,22 Oct 20:00,3.0,1.0,1.0,2.0,4.8,90965.0,8112.0,3195.0,4917.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,16.2,0.0,0.0,1.6,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,Leicester
9,28 Oct 13:30,2.0,2.0,0.0,1.0,4.8,93513.0,4223.0,2817.0,1406.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,9.2,0.0,0.0,0.9,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,Crystal Palace
10,03 Nov 17:30,1.0,1.0,1.0,3.0,4.8,90454.0,1621.0,5166.0,-3545.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,23.6,0.0,0.0,2.4,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,27.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.0,Liverpool
