entry,value
player_id,494
web_name,Lerma
team,Bournemouth
first_name,Jefferson
second_name,Lerma
cost_end,4.5
value_form,1.0
value_season,16.7
cost_change_start,0
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.3
total_points,75
ppg,2.5
minutes,2505
goals_scored,2
assists,2
clean_sheets,9
goals_conceded,49
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,12
red_cards,0
saves,0
bonus,6
bps,410
influence,539.6
creativity,245.8
threat,174.0
ict_index,96.2
ea_index,0
position,Midfielder
