,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,True,1,5.0,112156,0,0,0,55,0,0,0,1,0,0,0,0,0,0,0,1.0,5.8,2.0,0.9,0,1,0,0,3,0,0,0,27,22,0,0,0,1,2,0,2,0,1,Man City
2,18 Aug 17:30,3,2,False,0,5.0,117269,4812,14928,-10116,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Chelsea
3,25 Aug 15:00,3,1,True,0,4.9,95453,2151,26084,-23933,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,West Ham
4,02 Sep 13:30,2,3,False,0,4.8,79486,789,18542,-17753,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Cardiff
5,15 Sep 15:00,1,2,False,0,4.8,69989,550,11467,-10917,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Newcastle
6,23 Sep 16:00,2,0,True,0,4.7,64924,424,6320,-5896,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Everton
7,29 Sep 15:00,2,0,True,0,4.7,61396,431,4542,-4111,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Watford
8,07 Oct 12:00,1,5,False,0,4.7,58968,275,3104,-2829,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Fulham
9,22 Oct 20:00,3,1,True,2,4.6,56477,422,3354,-2932,60,0,0,0,1,0,0,0,0,0,0,6,0.0,2.0,1.0,0.3,0,0,0,1,4,0,0,0,35,29,0,0,0,3,0,1,1,0,81,Leicester
10,28 Oct 13:30,2,2,False,0,4.6,56009,681,1534,-853,45,0,0,0,1,0,0,1,0,0,0,2,12.4,10.9,0.0,2.3,0,0,0,5,0,1,1,0,16,13,0,0,0,0,0,0,3,0,93,Crystal Palace
11,03 Nov 17:30,1,1,True,0,4.6,55397,819,1859,-1040,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,Liverpool
