,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,True,0,7.0,283400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Leicester
2,19 Aug 16:00,3,2,False,1,6.9,208433,1669,77039,-75370,45,0,0,0,0,0,0,0,0,0,0,3,3.6,11.9,2.0,1.8,0,0,0,0,1,1,0,0,20,18,0,0,0,2,0,0,0,1,11,Brighton
3,27 Aug 20:00,0,3,True,2,6.9,182285,3612,36785,-33173,90,0,0,0,3,0,0,0,0,0,0,4,6.2,13.7,51.0,7.1,0,0,0,1,2,1,0,0,26,21,0,0,0,2,1,1,0,1,26,Spurs
4,02 Sep 16:00,0,2,False,3,6.8,177382,8928,18469,-9541,75,0,0,1,0,0,0,0,0,0,0,12,1.4,15.3,39.0,5.6,0,0,0,0,3,1,0,0,43,39,0,0,0,2,0,2,0,2,32,Burnley
5,15 Sep 17:30,1,2,False,2,6.8,188722,23617,17202,6415,70,0,0,0,1,0,0,0,0,0,0,11,8.4,19.7,0.0,2.8,0,1,1,2,6,1,0,0,38,34,0,0,0,5,0,0,2,0,49,Watford
6,22 Sep 15:00,1,1,True,2,6.8,186148,11036,15212,-4176,74,0,0,0,1,0,0,0,0,0,0,10,3.8,7.6,13.0,2.4,0,0,0,0,0,0,1,0,41,36,0,0,0,2,0,1,1,2,59,Wolves
7,29 Sep 12:30,3,1,False,0,6.8,173407,3961,17730,-13769,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,West Ham
8,06 Oct 17:30,3,2,True,0,6.8,146641,478,27394,-26916,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Newcastle
9,20 Oct 12:30,2,2,False,0,6.7,122439,129,24808,-24679,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Chelsea
10,28 Oct 16:00,2,1,True,1,6.7,115987,110,7166,-7056,1,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Everton
