entry,value
player_id,300
web_name,Lingard
team,Man Utd
first_name,Jesse
second_name,Lingard
cost_end,6.7
value_form,0.1
value_season,11.6
cost_change_start,-0.3
cost_start,7.0
dreamteam_count,1
selected_by_percent,2.6
total_points,78
ppg,2.9
minutes,1657
goals_scored,4
assists,3
clean_sheets,3
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,5
bps,270
influence,310.0
creativity,306.1
threat,395.0
ict_index,101.1
ea_index,0
position,Midfielder
