entry,value
player_id,65
web_name,Locadia
team,Brighton
first_name,Jürgen
second_name,Locadia
cost_end,5.3
value_form,0.2
value_season,9.8
cost_change_start,-0.2
cost_start,5.5
dreamteam_count,1
selected_by_percent,0.3
total_points,52
ppg,2.0
minutes,1225
goals_scored,2
assists,0
clean_sheets,3
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,6
bps,155
influence,154.4
creativity,190.8
threat,356.0
ict_index,69.7
ea_index,0
position,Forward
