,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,False,1,5.5,55849,0,0,0,22,0,0,0,0,0,0,0,0,0,0,5,2.2,1.3,0.0,0.4,0,0,0,0,0,0,1,0,9,9,0,0,0,0,0,0,0,0,4,Huddersfield
2,18 Aug 17:30,3,2,True,0,5.5,53230,449,7807,-7358,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Arsenal
3,26 Aug 16:00,1,2,False,0,5.4,43860,219,10224,-10005,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Newcastle
4,01 Sep 15:00,2,0,True,1,5.4,37876,149,6616,-6467,11,0,0,0,0,0,0,0,0,0,0,4,11.0,22.3,0.0,3.3,0,0,0,1,0,2,0,0,10,10,0,0,0,1,0,0,0,0,34,Bournemouth
5,15 Sep 15:00,4,1,True,0,5.3,34283,151,4063,-3912,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,Cardiff
6,23 Sep 13:30,0,0,False,0,5.3,31024,32,3392,-3360,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,West Ham
7,29 Sep 17:30,1,1,True,0,5.2,29278,49,1931,-1882,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Liverpool
8,07 Oct 14:15,0,3,False,0,5.2,27722,37,1605,-1568,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Southampton
9,20 Oct 12:30,2,2,True,0,5.2,26838,136,1135,-999,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Man Utd
10,28 Oct 13:30,0,4,False,8,5.2,28563,2164,746,1418,60,1,0,1,0,0,0,0,0,0,0,24,34.4,4.7,47.0,8.6,0,0,0,0,2,0,0,0,28,23,0,0,0,1,0,1,0,2,92,Burnley
11,04 Nov 16:00,3,1,True,0,5.2,32810,5040,1060,3980,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,Crystal Palace
12,11 Nov 14:15,0,0,True,0,5.2,31293,750,2204,-1454,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,Everton
13,24 Nov 17:30,3,1,False,0,5.2,29795,294,1909,-1615,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Spurs
14,02 Dec 12:00,2,0,True,6,5.2,29119,144,927,-783,23,1,0,0,0,0,0,0,0,0,0,24,45.0,12.7,37.0,9.5,0,0,0,1,0,1,2,0,16,15,0,0,0,2,0,0,0,0,133,Fulham
15,05 Dec 19:45,2,1,False,10,5.2,32454,3493,529,2964,90,1,0,0,2,0,0,0,0,0,3,40,47.6,10.3,11.0,6.9,0,0,1,4,4,1,2,0,66,58,0,0,0,1,0,0,1,3,148,Wolves
16,08 Dec 17:30,2,0,True,1,5.2,44895,13036,1258,11778,15,0,0,0,0,0,0,0,0,0,0,-1,1.0,10.5,2.0,1.4,0,0,0,0,1,1,0,0,5,4,0,0,0,4,0,0,2,1,155,Man City
17,16 Dec 13:30,1,2,False,1,5.2,44675,3592,3650,-58,24,0,0,0,0,0,0,0,0,0,0,3,6.4,2.7,10.0,1.9,0,0,0,0,3,0,1,0,13,11,0,0,0,6,1,0,0,4,161,Brighton
