entry,value
player_id,132
web_name,Loftus-Cheek
team,Crystal Palace
first_name,Ruben
second_name,Loftus-Cheek
cost_end,5.2
value_form,0.7
value_season,15.2
cost_change_start,-3
cost_start,8.2
dreamteam_count,2
selected_by_percent,0.8
total_points,79
ppg,3.3
minutes,980
goals_scored,6
assists,2
clean_sheets,5
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,6
bps,292
influence,391.6
creativity,254.9
threat,346.0
ict_index,99.4
ea_index,0
position,Midfielder
