entry,value
player_id,531
web_name,Longstaff
team,Stoke
first_name,Sean
second_name,Longstaff
cost_end,4.5
value_form,0.0
value_season,5.8
cost_change_start,0
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.0
total_points,26
ppg,2.9
minutes,686
goals_scored,1
assists,1
clean_sheets,3
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,1
bps,117
influence,130.4
creativity,71.8
threat,106.0
ict_index,30.9
ea_index,0
position,Midfielder
