,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,True,1,11.0,349932,0,0,0,23,0,0,0,1,0,0,0,0,0,0,-2,4.0,0.5,17.0,2.2,0,0,0,0,0,0,0,0,5,4,0,1,0,0,1,0,1,0,6,Leicester
2,19 Aug 16:00,3,2,False,8,11.0,423457,41774,28253,13521,90,1,0,0,3,0,0,0,0,0,2,27,35.0,2.5,39.0,7.7,0,0,0,0,0,0,0,0,18,10,0,0,0,1,1,1,0,0,11,Brighton
3,27 Aug 20:00,0,3,True,2,11.0,400373,25576,63781,-38205,90,0,0,0,3,0,0,0,0,0,0,-3,6.8,25.8,64.0,9.7,0,0,0,0,1,2,0,0,24,18,0,1,0,5,1,2,1,1,26,Spurs
4,02 Sep 16:00,0,2,False,12,11.0,373920,16492,53071,-36579,90,2,0,1,0,0,0,1,0,0,3,50,82.4,53.9,116.0,25.2,0,2,0,0,1,4,0,1,23,19,0,2,0,1,1,0,4,2,32,Burnley
5,15 Sep 17:30,1,2,False,6,11.0,469556,97270,28093,69177,90,1,0,0,1,0,0,0,0,0,0,25,37.6,2.5,57.0,9.7,0,0,0,2,0,0,0,0,25,17,0,0,0,5,2,0,0,1,49,Watford
6,22 Sep 15:00,1,1,True,2,11.1,650896,185191,23157,162034,90,0,0,0,1,0,0,0,0,0,0,1,0.6,1.8,24.0,2.6,0,0,0,0,0,0,0,0,15,11,0,0,0,3,2,0,0,0,59,Wolves
7,29 Sep 12:30,3,1,False,2,11.1,571361,15095,86022,-70927,90,0,0,0,3,0,0,0,0,0,0,0,0.0,4.0,30.0,3.4,0,0,0,0,1,0,0,0,17,13,0,0,0,4,2,1,0,1,69,West Ham
8,06 Oct 17:30,3,2,True,2,11.0,492155,17069,102054,-84985,90,0,0,0,2,0,0,0,0,0,0,11,11.2,36.0,10.0,5.7,0,1,1,2,2,3,0,0,22,14,0,0,0,2,0,0,2,1,77,Newcastle
9,20 Oct 12:30,2,2,False,2,10.9,383762,3384,110252,-106868,90,0,0,0,2,0,0,0,0,0,0,1,1.8,15.8,12.0,3.0,0,0,0,0,0,1,0,0,26,15,0,1,0,3,0,1,0,1,84,Chelsea
10,28 Oct 16:00,2,1,True,1,10.9,364204,11511,37043,-25532,25,0,0,0,1,0,0,0,0,0,0,0,0.0,2.5,6.0,0.8,0,0,0,1,1,0,0,0,14,7,0,0,0,0,2,1,0,0,97,Everton
11,03 Nov 12:30,1,2,False,0,10.8,325306,5472,44229,-38757,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Bournemouth
12,11 Nov 16:30,3,1,False,4,10.7,270750,196,54428,-54232,33,0,1,0,1,0,0,0,0,0,0,10,2.2,0.0,2.0,0.4,0,0,0,1,2,0,0,0,3,2,0,0,0,2,0,0,0,0,118,Man City
13,24 Nov 15:00,0,0,True,2,10.7,262923,4104,14372,-10268,90,0,0,1,0,0,0,0,0,0,0,5,5.4,14.2,27.0,4.7,0,0,0,0,0,1,0,0,13,8,0,0,0,0,2,0,0,0,126,Crystal Palace
14,01 Dec 17:30,2,2,False,9,10.7,262091,3895,5608,-1713,85,1,0,0,2,0,0,0,0,0,3,33,41.6,12.9,36.0,9.1,0,0,0,0,5,1,2,0,23,15,0,0,0,2,1,0,0,0,140,Southampton
15,05 Dec 20:00,2,2,True,1,10.7,261849,5026,5583,-557,27,0,0,0,1,0,0,0,0,0,0,4,1.2,0.3,2.0,0.4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,145,Arsenal
16,08 Dec 15:00,4,1,True,6,10.7,270298,12501,6596,5905,90,1,0,0,1,0,0,0,0,0,0,23,47.8,13.8,98.0,16.0,0,0,0,1,2,1,0,0,24,16,0,1,0,5,1,0,0,1,158,Fulham
17,16 Dec 16:00,3,1,False,1,10.7,265119,6236,10267,-4031,90,0,0,0,3,0,0,1,0,0,0,1,7.2,21.2,8.0,3.6,0,0,0,4,0,2,0,0,11,7,0,0,0,3,1,0,2,0,165,Liverpool
18,22 Dec 17:30,1,5,False,0,10.7,261935,9712,13934,-4222,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,Cardiff
19,26 Dec 15:00,3,1,True,0,10.7,242753,347,19166,-18819,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,Huddersfield
20,30 Dec 16:30,4,1,True,5,10.7,237720,1830,7549,-5719,20,1,0,0,0,0,0,0,0,0,0,26,37.2,3.3,17.0,5.8,0,0,0,1,1,0,0,0,10,10,0,0,0,0,1,0,0,0,197,Bournemouth
21,02 Jan 20:00,0,2,False,5,10.7,249526,15471,5193,10278,27,1,0,0,0,0,0,0,0,0,0,27,39.0,1.5,50.0,9.1,0,0,0,1,0,0,0,1,13,6,0,0,0,2,0,0,1,0,208,Newcastle
22,13 Jan 16:30,0,1,False,1,10.7,244440,5521,11194,-5673,17,0,0,0,0,0,0,0,0,0,0,3,0.2,1.8,18.0,2.0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,219,Spurs
23,19 Jan 15:00,2,1,True,1,10.7,242038,7774,10970,-3196,7,0,0,0,0,0,0,0,0,0,0,4,3.0,0.1,0.0,0.3,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,226,Brighton
24,29 Jan 20:00,2,2,True,2,10.7,234921,2058,9802,-7744,66,0,0,0,1,0,0,0,0,0,0,9,3.2,11.2,53.0,6.7,0,0,1,0,0,1,0,0,12,8,0,0,0,0,0,0,1,0,235,Burnley
25,03 Feb 14:05,0,1,False,1,10.7,232968,1052,3426,-2374,12,0,0,0,0,0,0,0,0,0,0,5,6.4,1.3,21.0,2.9,0,0,0,0,1,0,1,0,8,4,0,0,0,1,0,0,0,1,247,Leicester
26,09 Feb 12:30,0,3,False,2,10.7,229946,1603,5228,-3625,90,0,0,1,0,0,0,0,0,0,0,3,1.6,4.8,10.0,1.6,0,0,0,0,5,0,0,0,26,14,0,0,0,2,2,1,0,1,253,Fulham
27,24 Feb 14:05,0,0,True,2,10.7,228196,1393,4076,-2683,90,0,0,1,0,0,0,0,0,0,0,3,5.8,5.3,33.0,4.4,0,0,0,2,2,0,0,0,19,10,0,0,0,3,0,0,2,1,268,Liverpool
28,27 Feb 20:00,1,3,False,12,10.7,234688,7289,1323,5966,90,2,0,0,1,0,0,1,0,0,3,44,61.2,2.8,60.0,12.4,0,0,0,0,2,0,0,1,24,18,0,1,0,4,0,2,1,0,273,Crystal Palace
29,02 Mar 15:00,3,2,True,12,10.7,261958,28524,2117,26407,90,2,0,0,2,0,0,1,0,0,3,44,75.0,17.9,84.0,17.7,0,1,0,0,0,1,0,1,22,15,0,2,0,6,0,1,2,3,286,Southampton
30,10 Mar 16:30,2,0,False,2,10.8,328876,73430,8837,64593,90,0,0,0,2,0,0,0,0,0,0,-9,12.0,9.2,70.0,9.1,0,0,0,2,0,0,0,0,26,16,0,4,0,2,0,2,1,1,291,Arsenal
31,30 Mar 15:00,2,1,True,0,10.8,282095,15093,39606,-24513,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,Watford
