,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,0.0,-1.0,4.5,9470.0,319.0,808.0,-489.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.6,1.0,0.0,1.2,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Man City
2,25 Aug 15:00,0.0,0.0,1.0,0.0,4.5,9519.0,967.0,1237.0,-270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Cardiff
3,01 Sep 15:00,1.0,1.0,0.0,6.0,4.5,8396.0,48.0,1211.0,-1163.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,12.4,6.2,0.0,1.9,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Everton
4,15 Sep 15:00,0.0,1.0,1.0,2.0,4.5,8650.0,447.0,547.0,-100.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.4,57.3,0.0,8.1,0.0,5.0,1.0,1.0,5.0,3.0,0.0,0.0,41.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,44.0,Crystal Palace
5,22 Sep 15:00,3.0,1.0,0.0,1.0,4.4,8392.0,153.0,475.0,-322.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,3.3,14.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,44.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,57.0,Leicester
6,29 Sep 15:00,0.0,2.0,1.0,1.0,4.4,8128.0,105.0,428.0,-323.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.9,10.0,2.3,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,44.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,66.0,Spurs
7,06 Oct 15:00,1.0,1.0,0.0,7.0,4.4,8077.0,185.0,307.0,-122.0,85.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,40.6,66.7,2.0,10.9,0.0,4.0,0.0,0.0,7.0,4.0,0.0,0.0,60.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,Burnley
8,20 Oct 17:30,0.0,1.0,1.0,2.0,4.4,7637.0,306.0,770.0,-464.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,14.3,0.0,3.4,0.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,42.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,Liverpool
9,27 Oct 15:00,3.0,0.0,0.0,1.0,4.4,7762.0,274.0,223.0,51.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.2,6.8,24.0,5.4,0.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,45.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,Watford
10,05 Nov 20:00,1.0,0.0,1.0,9.0,4.4,8283.0,721.0,316.0,405.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,11.0,16.2,0.0,2.7,0.0,1.0,1.0,1.0,8.0,1.0,2.0,0.0,32.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.0,Fulham
11,10 Nov 15:00,1.0,1.0,1.0,1.0,4.4,9022.0,988.0,408.0,580.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.8,0.0,0.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,115.0,West Ham
12,25 Nov 16:00,0.0,2.0,0.0,0.0,4.4,7537.0,49.0,1403.0,-1354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Wolves
13,01 Dec 15:00,1.0,2.0,1.0,0.0,4.4,7182.0,23.0,441.0,-418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,Brighton
14,04 Dec 19:45,2.0,1.0,0.0,0.0,4.4,6783.0,12.0,407.0,-395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,Bournemouth
15,08 Dec 15:00,1.0,0.0,0.0,2.0,4.4,6539.0,19.0,268.0,-249.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.5,5.0,1.7,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,151.0,Arsenal
16,15 Dec 15:00,0.0,1.0,1.0,1.0,4.4,9046.0,2535.0,221.0,2314.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.2,49.1,13.0,7.2,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,25.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,164.0,Newcastle
17,22 Dec 15:00,1.0,3.0,1.0,-1.0,4.4,9936.0,1284.0,354.0,930.0,45.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,176.0,Southampton
18,26 Dec 15:00,3.0,1.0,0.0,0.0,4.4,9293.0,152.0,758.0,-606.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.4,4.5,0.0,0.9,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,187.0,Man Utd
19,29 Dec 15:00,1.0,0.0,0.0,2.0,4.4,8035.0,68.0,1359.0,-1291.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,4.8,18.0,2.9,0.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,21.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,194.0,Fulham
20,02 Jan 19:45,1.0,2.0,1.0,1.0,4.4,8270.0,492.0,338.0,154.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0.5,0.0,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,206.0,Burnley
21,12 Jan 15:00,0.0,0.0,0.0,0.0,4.4,7708.0,106.0,645.0,-539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,Cardiff
22,20 Jan 13:30,0.0,3.0,1.0,1.0,4.4,7189.0,29.0,554.0,-525.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.6,1.5,2.0,0.9,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224.0,Man City
23,29 Jan 19:45,0.0,1.0,1.0,1.0,4.4,7073.0,64.0,206.0,-142.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,Everton
24,02 Feb 15:00,5.0,0.0,0.0,0.0,4.4,6902.0,17.0,168.0,-151.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.2,15.3,0.0,3.7,0.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,Chelsea
25,09 Feb 15:00,1.0,2.0,1.0,0.0,4.4,6715.0,26.0,237.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,Arsenal
26,23 Feb 15:00,2.0,0.0,0.0,1.0,4.4,6457.0,10.0,259.0,-249.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.2,21.1,8.0,4.9,0.0,2.0,0.0,5.0,6.0,1.0,0.0,0.0,75.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,269.0,Newcastle
27,26 Feb 19:45,1.0,0.0,1.0,0.0,4.4,6457.0,42.0,74.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,Wolves
28,02 Mar 15:00,1.0,0.0,0.0,0.0,4.4,6400.0,26.0,90.0,-64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,Brighton
29,09 Mar 15:00,0.0,2.0,1.0,1.0,4.4,6326.0,19.0,99.0,-80.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,6.2,0.0,0.8,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,Bournemouth
30,16 Mar 15:00,4.0,3.0,0.0,3.0,4.4,6466.0,85.0,80.0,5.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.2,2.6,8.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,309.0,West Ham
31,30 Mar 15:00,2.0,0.0,0.0,2.0,4.4,6218.0,107.0,132.0,-25.0,79.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.6,18.1,37.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,315.0,Crystal Palace
