,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2.0,1.0,0.0,1.0,5.5,759622.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.6,1.6,2.0,1.4,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,59.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Man Utd
2,18 Aug 15:00,2.0,0.0,1.0,5.0,5.5,814141.0,16881.0,40742.0,-23861.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,17.0,0.7,0.0,1.8,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,41.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,Wolves
3,25 Aug 15:00,1.0,2.0,0.0,10.0,5.5,806091.0,15854.0,46414.0,-30560.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,35.0,65.4,11.7,7.0,8.4,0.0,0.0,1.0,12.0,6.0,1.0,0.0,1.0,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,Southampton
4,01 Sep 12:30,1.0,2.0,1.0,1.0,5.5,860442.0,47789.0,24141.0,23648.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.2,1.0,0.0,2.8,0.0,0.0,0.0,9.0,7.0,0.0,1.0,0.0,58.0,50.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,37.0,Liverpool
5,15 Sep 15:00,4.0,2.0,0.0,-1.0,5.5,860758.0,26044.0,40548.0,-14504.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,31.2,1.2,57.0,8.9,0.0,0.0,0.0,11.0,9.0,0.0,1.0,0.0,62.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,41.0,Bournemouth
6,22 Sep 15:00,3.0,1.0,1.0,2.0,5.5,825535.0,11833.0,51735.0,-39902.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.2,2.5,19.0,4.3,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,77.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,57.0,Huddersfield
7,29 Sep 15:00,0.0,2.0,0.0,18.0,5.5,799346.0,7041.0,37671.0,-30630.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,49.6,0.5,90.0,14.0,0.0,0.0,0.0,3.0,9.0,0.0,2.0,0.0,66.0,55.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,68.0,Newcastle
8,06 Oct 15:00,1.0,2.0,1.0,1.0,5.5,907991.0,98669.0,8261.0,90408.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,38.6,0.9,0.0,4.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,69.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,Everton
9,22 Oct 20:00,3.0,1.0,0.0,1.0,5.5,904827.0,32127.0,35825.0,-3698.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.8,1.0,21.0,4.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,36.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,Arsenal
10,27 Oct 17:30,1.0,1.0,1.0,2.0,5.5,919154.0,29086.0,22513.0,6573.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.8,14.2,37.0,7.0,0.0,0.0,0.0,3.0,12.0,1.0,2.0,0.0,77.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,95.0,West Ham
11,03 Nov 15:00,0.0,1.0,0.0,1.0,5.5,926700.0,30529.0,27243.0,3286.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.8,0.2,2.0,1.2,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Cardiff
