entry,value
player_id,220
web_name,Maguire
team,Leicester
first_name,Harry
second_name,Maguire
cost_end,5.4
value_form,0.9
value_season,17.0
cost_change_start,-0.1
cost_start,5.5
dreamteam_count,2
selected_by_percent,8.3
total_points,92
ppg,3.0
minutes,2596
goals_scored,3
assists,1
clean_sheets,6
goals_conceded,41
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,1
saves,0
bonus,10
bps,533
influence,715.8
creativity,165.3
threat,462.0
ict_index,134.3
ea_index,0
position,Defender
