entry,value
player_id,251
web_name,Mané
team,Man Utd
first_name,Sadio
second_name,Mané
cost_end,10.3
value_form,1.0
value_season,22.4
cost_change_start,8
cost_start,2.3000000000000007
dreamteam_count,8
selected_by_percent,38.6
total_points,231
ppg,6.4
minutes,3076
goals_scored,22
assists,3
clean_sheets,19
goals_conceded,21
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,24
bps,703
influence,1015.8
creativity,692.8
threat,1332.0
ict_index,304.0
ea_index,0
position,Midfielder
