,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,0.0,2.0,5.0,3712.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.2,14.3,2.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,Watford
2,19 Aug 16:00,3.0,2.0,1.0,5.0,5.0,3689.0,90.0,455.0,-365.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.4,16.1,0.0,4.2,0.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,11.0,Man Utd
3,25 Aug 17:30,1.0,0.0,0.0,2.0,5.0,6614.0,2921.0,1182.0,1739.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.6,5.0,0.0,1.9,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,Liverpool
4,01 Sep 15:00,2.0,2.0,1.0,2.0,5.0,9134.0,3446.0,1512.0,1934.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.2,17.5,48.0,7.8,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,28.0,25.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,31.0,Fulham
5,17 Sep 20:00,2.0,2.0,0.0,2.0,5.0,9541.0,1793.0,1615.0,178.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6,18.6,4.0,2.4,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,47.0,Southampton
6,22 Sep 17:30,1.0,2.0,1.0,2.0,5.0,8743.0,480.0,1246.0,-766.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.2,2.7,12.0,2.3,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52.0,Spurs
7,29 Sep 15:00,2.0,0.0,0.0,2.0,5.0,8224.0,287.0,870.0,-583.0,82.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.2,14.3,0.0,2.5,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,12.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,67.0,Man City
8,05 Oct 20:00,1.0,0.0,1.0,3.0,5.0,8353.0,567.0,562.0,5.0,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,13.2,5.0,2.1,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,71.0,West Ham
9,20 Oct 15:00,0.0,1.0,0.0,3.0,5.0,8625.0,938.0,768.0,170.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.8,2.2,3.0,1.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,23.0,14.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,88.0,Newcastle
10,27 Oct 15:00,1.0,0.0,1.0,3.0,5.0,8927.0,824.0,647.0,177.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.2,33.0,19.0,6.3,0.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,31.0,26.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,91.0,Wolves
11,03 Nov 15:00,3.0,1.0,0.0,6.0,5.0,8799.0,644.0,850.0,-206.0,69.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,28.0,25.9,2.0,5.6,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,105.0,Everton
