entry,value
player_id,58
web_name,March
team,Brighton
first_name,Solomon
second_name,March
cost_end,4.7
value_form,0.4
value_season,20.0
cost_change_start,-0.3
cost_start,5.0
dreamteam_count,1
selected_by_percent,0.7
total_points,94
ppg,2.7
minutes,2459
goals_scored,1
assists,6
clean_sheets,6
goals_conceded,40
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,342
influence,474.6
creativity,684.5
threat,405.0
ict_index,156.6
ea_index,0
position,Midfielder
