,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,02 Feb 15:00,2,0,False,0,5.0,532,550,40,510,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,Crystal Palace
2,09 Feb 12:30,0,3,True,0,5.0,727,380,188,192,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,Man Utd
3,22 Feb 19:45,3,1,False,1,5.0,652,98,181,-83,45,0,0,0,1,0,0,0,0,0,0,3,6.2,13.0,4.0,2.3,0,0,0,2,2,1,0,0,29,28,0,0,0,2,0,0,1,1,270,West Ham
4,27 Feb 19:45,2,0,False,0,5.0,662,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,Southampton
5,03 Mar 14:05,1,2,True,0,5.0,610,73,134,-61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,Chelsea
6,09 Mar 15:00,3,1,False,0,4.9,591,83,119,-36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,Leicester
7,17 Mar 14:15,1,2,True,0,4.9,678,116,79,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,Liverpool
8,30 Mar 12:30,0,2,True,0,4.9,607,48,107,-59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,Man City
9,02 Apr 19:45,4,1,False,0,4.9,607,48,107,-59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,Watford
10,13 Apr 15:00,2,0,True,0,4.8,546,25,56,-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,Everton
11,20 Apr 15:00,0,1,False,0,4.8,463,18,97,-79,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,Bournemouth
12,27 Apr 15:00,1,0,True,0,4.7,414,17,69,-52,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,Cardiff
13,04 May 15:00,1,0,False,0,4.7,398,11,28,-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,Wolves
14,12 May 15:00,0,4,True,0,4.7,415,62,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,Newcastle
