entry,value
player_id,301
web_name,Martial
team,Southampton
first_name,Anthony
second_name,Martial
cost_end,7.2
value_form,0.1
value_season,16.9
cost_change_start,-3
cost_start,10.2
dreamteam_count,3
selected_by_percent,3.4
total_points,122
ppg,4.5
minutes,1613
goals_scored,10
assists,4
clean_sheets,5
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,13
bps,389
influence,532.8
creativity,503.3
threat,755.0
ict_index,178.9
ea_index,0
position,Midfielder
