,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,0,4.5,5629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Brighton
2,19 Aug 13:30,1,3,False,0,4.5,4975,30,1033,-1003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Burnley
3,26 Aug 13:30,2,1,True,0,4.4,4286,48,839,-791,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Crystal Palace
4,02 Sep 16:00,2,1,True,0,4.4,3824,44,564,-520,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Spurs
5,15 Sep 17:30,1,2,True,1,4.3,3490,46,431,-385,6,0,0,0,0,0,0,0,0,0,0,3,1.6,0.2,2.0,0.4,0,0,0,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,49,Man Utd
6,22 Sep 12:30,1,1,False,0,4.3,3462,109,225,-116,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Fulham
7,29 Sep 15:00,2,0,False,0,4.3,3347,50,179,-129,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Arsenal
8,06 Oct 15:00,0,4,True,0,4.3,3260,28,133,-105,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Bournemouth
9,20 Oct 15:00,0,2,False,7,4.3,3184,34,125,-91,90,0,0,1,0,0,0,0,0,0,1,31,23.8,3.2,0.0,2.7,0,0,0,7,4,0,3,0,52,42,0,0,0,1,0,0,1,1,90,Wolves
10,27 Oct 15:00,3,0,True,8,4.3,4172,908,160,748,90,0,1,1,0,0,0,1,0,0,0,30,33.6,19.8,0.0,5.3,0,1,1,4,4,1,0,0,44,33,0,0,0,1,0,0,3,0,100,Huddersfield
11,03 Nov 15:00,1,0,False,0,4.3,7568,3413,547,2866,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Newcastle
12,10 Nov 15:00,1,1,False,0,4.3,6813,630,1127,-497,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,Southampton
13,24 Nov 15:00,0,3,True,1,4.3,6017,166,934,-768,90,0,0,0,3,0,0,0,0,0,0,12,11.8,19.9,0.0,3.2,0,1,0,3,4,1,1,0,41,28,0,0,0,0,0,0,1,1,128,Liverpool
14,01 Dec 15:00,2,0,False,0,4.3,5870,80,296,-216,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,Leicester
15,04 Dec 20:00,1,2,True,0,4.3,5512,26,382,-356,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,Man City
16,10 Dec 20:00,2,2,False,0,4.3,5298,33,253,-220,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,Everton
17,15 Dec 15:00,3,2,True,0,4.3,5112,46,266,-220,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,Cardiff
18,22 Dec 15:00,0,2,False,0,4.3,4905,35,257,-222,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,West Ham
19,26 Dec 19:30,1,2,True,0,4.3,4726,26,221,-195,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,Chelsea
20,29 Dec 15:00,1,1,True,1,4.3,4568,37,193,-156,77,0,0,0,1,0,0,1,0,0,0,12,14.2,3.4,10.0,2.8,0,0,0,3,6,0,0,0,55,49,0,0,0,0,0,0,2,4,200,Newcastle
21,02 Jan 19:45,3,3,False,0,4.3,4506,45,124,-79,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,Bournemouth
22,12 Jan 15:00,1,2,False,1,4.3,4372,52,208,-156,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,Crystal Palace
23,19 Jan 15:00,0,0,True,0,4.3,4219,32,195,-163,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,Burnley
24,30 Jan 20:00,2,1,False,0,4.3,4137,29,120,-91,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,Spurs
25,02 Feb 15:00,0,0,False,0,4.3,4080,13,72,-59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,Brighton
26,09 Feb 15:00,1,0,True,0,4.3,4026,17,81,-64,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,Everton
27,22 Feb 19:45,1,5,False,2,4.3,4133,146,92,54,90,0,0,0,1,0,0,0,0,0,0,9,21.4,1.4,0.0,2.3,0,0,0,8,2,0,0,0,28,21,0,0,0,1,0,0,0,0,264,Cardiff
28,27 Feb 20:00,5,0,False,-1,4.3,4084,57,73,-16,90,0,0,0,5,0,0,1,0,0,0,19,26.6,11.8,4.0,4.2,0,0,1,8,10,1,1,0,37,30,0,0,0,0,1,0,1,1,277,Liverpool
29,03 Mar 12:00,2,1,True,0,4.3,4053,41,72,-31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,Leicester
30,09 Mar 17:30,3,1,False,1,4.3,4001,12,72,-60,90,0,0,0,3,0,0,0,0,0,0,7,15.2,0.5,2.0,1.8,0,0,0,3,2,0,0,0,24,17,0,0,0,0,0,0,0,0,298,Man City
31,30 Mar 15:00,2,1,False,0,4.3,4039,92,72,20,90,0,0,0,2,0,0,1,0,0,0,7,13.0,1.5,8.0,2.3,0,0,0,8,2,0,2,0,27,25,0,0,0,1,0,0,3,0,319,Man Utd
32,02 Apr 19:45,4,1,True,0,4.3,4039,92,72,20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,Fulham
33,15 Apr 20:00,0,1,True,2,4.3,4088,230,142,88,85,0,0,0,1,0,0,0,0,0,0,5,5.6,1.2,1.0,0.8,0,0,0,2,4,0,0,0,23,19,0,0,0,0,0,1,2,0,340,Arsenal
