,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0.0,3.0,1.0,0.0,6.0,904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Chelsea
2,19 Aug 13:30,6.0,1.0,0.0,0.0,6.0,699.0,17.0,253.0,-236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Man City
3,25 Aug 15:00,0.0,0.0,1.0,1.0,6.0,733.0,43.0,114.0,-71.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,Cardiff
4,01 Sep 15:00,1.0,1.0,0.0,0.0,6.0,835.0,46.0,95.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Everton
5,15 Sep 15:00,0.0,1.0,1.0,1.0,6.0,956.0,92.0,121.0,-29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,8.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,Crystal Palace
6,22 Sep 15:00,3.0,1.0,0.0,0.0,6.0,1014.0,62.0,96.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Leicester
7,29 Sep 15:00,0.0,2.0,1.0,1.0,6.0,1021.0,39.0,82.0,-43.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,0.8,7.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,Spurs
8,06 Oct 15:00,1.0,1.0,0.0,1.0,6.0,1049.0,46.0,55.0,-9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.8,1.0,8.0,1.3,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,12.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,Burnley
9,20 Oct 17:30,0.0,1.0,1.0,1.0,5.9,1064.0,40.0,81.0,-41.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.4,0.6,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,Liverpool
10,27 Oct 15:00,3.0,0.0,0.0,2.0,5.9,1069.0,19.0,41.0,-22.0,62.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.4,14.8,19.0,4.2,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,100.0,Watford
11,05 Nov 20:00,1.0,0.0,1.0,0.0,5.9,1095.0,55.0,61.0,-6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,106.0,Fulham
12,10 Nov 15:00,1.0,1.0,1.0,1.0,5.9,1131.0,22.0,32.0,-10.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,115.0,West Ham
13,25 Nov 16:00,0.0,2.0,0.0,1.0,5.9,1162.0,24.0,30.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Wolves
14,01 Dec 15:00,1.0,2.0,1.0,0.0,5.9,1196.0,31.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,Brighton
15,04 Dec 19:45,2.0,1.0,0.0,1.0,5.9,1199.0,12.0,29.0,-17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.4,0.9,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,Bournemouth
16,08 Dec 15:00,1.0,0.0,0.0,0.0,5.9,1196.0,5.0,26.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,Arsenal
17,15 Dec 15:00,0.0,1.0,1.0,1.0,5.9,1232.0,16.0,35.0,-19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.3,2.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,164.0,Newcastle
