,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,2,False,3,5.0,85461,0,0,0,90,0,0,1,0,0,0,0,0,0,0,14,14.2,12.4,2.0,2.9,0,0,0,4,6,1,2,0,36,27,0,0,0,1,0,0,2,0,3,Fulham
2,20 Aug 20:00,0,2,True,2,5.0,78927,1869,10750,-8881,90,0,0,0,2,0,0,0,0,0,0,14,11.6,2.7,2.0,1.6,0,0,0,4,4,0,0,0,43,39,0,0,0,2,0,0,0,1,15,Liverpool
3,26 Aug 13:30,2,1,False,2,5.0,70836,2497,11331,-8834,90,0,0,0,2,0,0,0,0,0,0,2,16.2,13.9,20.0,5.0,0,0,0,1,8,1,1,0,63,50,0,1,0,5,0,1,2,0,29,Watford
4,01 Sep 15:00,0,2,True,2,4.9,68384,4975,8347,-3372,90,0,0,0,2,0,0,0,0,0,0,18,17.6,38.8,42.0,9.8,0,1,0,1,8,3,2,0,51,44,0,0,0,1,0,1,0,0,35,Southampton
5,15 Sep 15:00,0,1,False,2,4.9,65922,6086,9241,-3155,90,0,0,1,0,0,0,1,0,0,0,6,14.8,23.0,10.0,4.8,0,0,0,4,5,2,1,0,28,21,0,0,0,1,0,1,2,0,44,Huddersfield
6,22 Sep 15:00,0,0,True,3,4.9,61676,2837,7316,-4479,90,0,0,1,0,0,0,0,0,0,0,6,2.0,10.4,4.0,1.6,0,0,0,0,5,0,0,0,45,38,0,0,0,2,0,1,2,0,55,Newcastle
7,01 Oct 20:00,2,1,False,2,4.9,58390,1555,5019,-3464,76,0,0,0,1,0,0,0,0,0,0,5,6.2,15.1,12.0,3.3,0,0,0,0,5,1,1,0,41,33,0,0,0,5,1,1,2,0,62,Bournemouth
8,06 Oct 15:00,0,1,True,1,4.9,56059,1227,3768,-2541,62,0,0,0,1,0,0,1,0,0,0,11,3.8,3.2,2.0,0.9,0,0,0,0,4,0,2,0,60,55,0,0,0,0,0,0,4,1,73,Wolves
9,21 Oct 16:00,2,0,False,2,4.8,52284,980,4910,-3930,88,0,0,0,2,0,0,0,0,0,0,10,9.6,14.4,0.0,2.4,0,0,0,0,7,1,2,0,28,21,0,0,0,1,0,0,2,0,85,Everton
10,28 Oct 13:30,2,2,True,2,4.8,49025,447,3716,-3269,60,0,0,0,2,0,0,0,0,0,0,3,5.0,1.2,2.0,0.8,0,0,0,2,3,0,0,0,19,14,0,0,0,3,0,0,2,0,93,Arsenal
11,04 Nov 16:00,3,1,False,5,4.8,45709,496,3915,-3419,79,0,1,0,3,0,0,0,0,0,0,14,17.0,16.4,0.0,3.3,0,0,0,0,3,1,1,0,20,16,0,0,0,1,0,0,4,0,104,Chelsea
12,10 Nov 17:30,0,1,True,2,4.7,46837,2896,2161,735,69,0,0,0,1,0,0,0,0,0,0,12,9.0,1.6,2.0,1.3,0,0,0,3,4,0,2,0,24,16,0,0,0,0,0,0,0,0,114,Spurs
