entry,value
player_id,147
web_name,McArthur
team,Everton
first_name,James
second_name,McArthur
cost_end,4.9
value_form,0.6
value_season,24.7
cost_change_start,-1
cost_start,5.9
dreamteam_count,1
selected_by_percent,3.4
total_points,121
ppg,3.2
minutes,3057
goals_scored,3
assists,7
clean_sheets,11
goals_conceded,49
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,7
bps,500
influence,666.8
creativity,457.2
threat,487.0
ict_index,161.3
ea_index,0
position,Midfielder
